sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-full,distance_modern,revised_distance,comment,place_uri,latitude,longitude,placetype,placetype_pleiades
11,,5.2,1. PROVINCIAE AFRICAE,Caesarea-Saldae,sum-route,,,,,Iol Caesarea,Iol Caesarea,,,,,,,https://pleiades.stoa.org/places/295279,36.607058,2.1918495,,
12,,5.2,1. PROVINCIAE AFRICAE,Caesarea-Saldae,sum-route,Saldis m. p. CCXVIII,,,Saldis,Saldae,Saldae,m. p.,CCXVIII, m. p. CCXVIII,,,,https://pleiades.stoa.org/places/305142,36.740851,5.057965000000000,,
13,,5.3,1. PROVINCIAE AFRICAE,Saldae-Rusicade,sum-route,,,,,Saldae,Saldae,,,,,,,https://pleiades.stoa.org/places/305142,36.740851,5.057965000000000,,
14,,5.3,1. PROVINCIAE AFRICAE,Saldae-Rusicade,sum-route,Rusiccade m. p. CCXVIII,,,Rusiccade,Rusicade,Rusicade/Thapsus,m. p.,CCXVIII, m. p. CCXVIII,,,,https://pleiades.stoa.org/places/305137,36.8814425,6.9055805,,
15,,6.1,1. PROVINCIAE AFRICAE,Rusicade-Hippo Regius,sum-route,,,,,Rusicade,Rusicade/Thapsus,,,,,,,https://pleiades.stoa.org/places/305137,36.8814425,6.9055805,,
16,,6.1,1. PROVINCIAE AFRICAE,Rusicade-Hippo Regius,sum-route,Hippone Regio m. p. CXV,,,Hippone Regio,Hippo Regius,Hippo Regius,m. p.,CXV, m. p. CXV,,,,https://pleiades.stoa.org/places/305090,36.882478,7.751272,,
17,,6.2,1. PROVINCIAE AFRICAE,Hippo Regius-Carthago-1,sum-route,,,,,Hippo Regius,Hippo Regius,,,,,,,https://pleiades.stoa.org/places/305090,36.882478,7.751272,,
18,,6.2,1. PROVINCIAE AFRICAE,Hippo Regius-Carthago-1,sum-route,Cartagine m. p. CXCIII mansionibus his:,,,Cartagine,Carthago,Carthago,m. p.,CXCIII, m. p. CXCIII,,,,https://pleiades.stoa.org/places/314921,36.853056,10.323056,,
19,,6.4,1. PROVINCIAE AFRICAE,Mercurii-Tingis,route,,,,,Mercurii,Ad Mercuri?,,,,,,"The placement of Mercurii as starting point and intermediate stop on the route does not make any sense. An alternative location could be at -6.98380, 33.86776 (km 23.268), which is also where the roman road ends. Distances in this route are almost perfectly accurate, so this location would make sense.",https://pleiades.stoa.org/places/275579,35.508424,-5.839493,mansio,station (road or coastal)
20,,6.4,1. PROVINCIAE AFRICAE,Mercurii-Tingis,route,,,,Sala colonia,Sala,Sala,m. p.,XVI,m. p. XVI,16.0,23.68,,https://pleiades.stoa.org/places/275696,34.006821,-6.821498,colonia,settlement
21,,7.1,1. PROVINCIAE AFRICAE,Mercurii-Tingis,route,,,,Thamusida,Thamusida,Thamusida,m. p.,XXXII,m. p. XXXII,32.0,47.36,,https://pleiades.stoa.org/places/275734,34.3349603,-6.490649966666670,mansio,fort-2
22,,7.2,1. PROVINCIAE AFRICAE,Mercurii-Tingis,route,,,,Banasa,Banasa,Banasa,m. p.,XXXII,m. p. XXXII,32.0,47.36,,https://pleiades.stoa.org/places/275599,34.6018947311911,-6.115293843505940,mansio,settlement
23,,7.3,1. PROVINCIAE AFRICAE,Mercurii-Tingis,route,,,,Frigidis,Frigidae,Frigidae,m. p.,XXIIII,m. p. XXIIII,24.0,35.52,,https://pleiades.stoa.org/places/275629,34.96001,-6.150002,mansio,fort-2
24,,7.4,1. PROVINCIAE AFRICAE,Mercurii-Tingis,route,,,,Lix colonia,Lix,Lixus,m. p.,XVI,m. p. XVI,16.0,23.68,,https://pleiades.stoa.org/places/275666,35.2002398464,-6.10995151281,colonia,"settlement, archaeological site"
25,,8.1,1. PROVINCIAE AFRICAE,Mercurii-Tingis,route,,,,Tabernis,Tabernae,Tabernae,m. p.,XVI,m. p. XVI,16.0,23.68,,https://pleiades.stoa.org/places/275729,35.333689,-5.981627,mansio,settlement
26,,8.2,1. PROVINCIAE AFRICAE,Mercurii-Tingis,route,,,,Zili,Zilis,Zilil/Zilis,m. p.,XIIII,m. p. XIIII,14.0,20.72,,https://pleiades.stoa.org/places/275744,35.52228785,-5.91557325,mansio,settlement
27,,8.3,1. PROVINCIAE AFRICAE,Mercurii-Tingis,route,,ad,preposition,Ad Mercurios,Mercurii,Ad Mercuri?,m. p.,VI,m. p. VI,6.0,8.88,This location is correct,https://pleiades.stoa.org/places/275579,35.508424,-5.839493,mansio,station (road or coastal)
28,,8.4,1. PROVINCIAE AFRICAE,Mercurii-Tingis,route,,,,Tingi colonia,Tingis,Tingi,m. p.,XVIII,m. p. XVIII,18.0,26.64,,https://pleiades.stoa.org/places/275736,35.787546,-5.8102335,colonia,"settlement, port"
29,,9.1,1. PROVINCIAE AFRICAE,Tingis-Rusadder,route,,,,Tingi,Tingis,Tingi,,,,0.0,0.0,,https://pleiades.stoa.org/places/275736,35.787546,-5.8102335,mansio/colonia,"settlement, port"
31,,9.3,1. PROVINCIAE AFRICAE,Tingis-Rusadder,route,A Tingi litoribus navigatur usque ad Portus Divinos:,"ad, navigatur","preposition, navigation",Ad Septem Fratres,Septem Fratres,Septem Fratres Montes,m. p.,LX,m. p. LX,60.0,88.8,"I believe the text transcription is not an endpoint but a direction based on mode of transport. This is sort of an “internal route” to indicate that from Tingis to Portus Divinus the main mode of transportation is by boat. It is, therefore, an insertion in the route with navigational information, rather than an actual stop at this point in the route. The distance to Septem Fratres is, however, almost double the effective one. ",https://pleiades.stoa.org/places/275704,35.8989516,-5.4129554,,mountain
32,,9.4,1. PROVINCIAE AFRICAE,Tingis-Rusadder,route,,"ad, navigatur","preposition, navigation",Ad Abilem,Abilem?,Abila M. ,m. p.,XIIII,m. p. XIIII,14.0,20.72,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/275577,35.9,-5.283333,,mountain
33,,9.5,1. PROVINCIAE AFRICAE,Tingis-Rusadder,route,,"ad, navigatur","preposition, navigation",Ad Aquilam Minorem,Aquila Minor,Aquila Minor (promontory),m. p.,XIIII,m. p. XIIII,14.0,20.72,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/275592,35.77,-5.34,,"cape, promontory"
34,,10.1,1. PROVINCIAE AFRICAE,Tingis-Rusadder,route,,"ad, navigatur","preposition, navigation",Ad Aquilam Maiorem,Aquila Maior,Aquila Maior (promontory),m. p.,XIIII,m. p. XIIII,14.0,20.72,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/275591,35.68,-5.27,,cape
35,,10.2,1. PROVINCIAE AFRICAE,Tingis-Rusadder,route,,"ad, navigatur","preposition, navigation",Ad promunturium Barbiti,Barbiti promunturium?,Barbari Pr.,m. p.,XII,m. p. XII,12.0,17.76,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/275602,35.55019,-5.22618,promunturium,cape
36,,10.3,1. PROVINCIAE AFRICAE,Tingis-Rusadder,route,,navigatur,navigation,Tenia Longa,Tenia Longa,Taenia Longa?,m. p.,XXIIII,m. p. XXIIII,24.0,35.52,"Location of Tenia Longa is imprecise in Pleiades, as the location is clearly at the mouth of the river Oued Laou. Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3)",https://pleiades.stoa.org/places/275730,35.3478170894,-5.17998275249,,"cape, promontory"
37,,10.4,1. PROVINCIAE AFRICAE,Tingis-Rusadder,route,,navigatur,navigation,Cubucla,Cobucla,Cobucla,m. p.,XXIIII,m. p. XXIIII,24.0,35.52,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/278605,,,,unlocated
38,,10.5,1. PROVINCIAE AFRICAE,Tingis-Rusadder,route,,navigatur,navigation,Parietina,Parietina,Parietina,m. p.,XXIIII,m. p. XXIIII,24.0,35.52,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/289945,,,,unlocated
39,,10.6,1. PROVINCIAE AFRICAE,Tingis-Rusadder,route,,navigatur,navigation,Promunturium,Promunturium,,m. p.,XXV,m. p. XXV,25.0,37.0,Location calculated based on the distance and geography; Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),No URI,,,promunturium,unknown
40,,11.1,1. PROVINCIAE AFRICAE,Tingis-Rusadder,route,,"ad, navigatur","preposition, navigation",Ad Sex Insulas,Sex Insulas,,m. p.,XII,m. p. XII,12.0,17.76,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),No URI,,,insula,unknown
41,,11.2,1. PROVINCIAE AFRICAE,Tingis-Rusadder,route,,navigatur,navigation,Promunturio Cannarum,Promunturium Cannarum,Cannarum Pr./Cannar Pr.,m. p.,XXX,m. p. XXX,30.0,44.4,Location calculated based on the distance and geography; Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/289928,,,promunturium,unlocated
42,,,1. PROVINCIAE AFRICAE,Tingis-Rusadder,route,,navigatur,navigation,Promunturio Rusaddi,Promunturium Rusaddi,Rusaddi(r) Pr.,m. p.,L,m. p. L,50.0,74.0,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/285511,35.438333,-2.974444,promunturium,"cape, promontory"
43,,,1. PROVINCIAE AFRICAE,Tingis-Rusadder,route,,navigatur,navigation,Rusadder colonia,Rusadder,Rusaddir,m. p.,XV,m. p. XV,15.0,22.2,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/285512,35.2922015,-2.938778,colonia,"settlement, port"
44,,,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,navigatur,navigation,,Rusadder,Rusaddir,,,,0.0,0.0,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/285512,35.2922015,-2.938778,colonia,"settlement, port"
45,,,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,"ad, navigatur","preposition, navigation",Ad Tres Insulas,Tres Insulas,Tres (islands),m. p.,LXV,m. p. LXV,65.0,96.2,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/285540,35.1806575667,-2.42942003333,insula,"archipelago, island group, island"
46,,,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,Flumen Malva dirimit Mauretanias duas incipit Caesariensis:,navigatur,navigation,Flumen Malva,Flumen Malva,Malva?,m. p.,XII,m. p. XII,12.0,17.76,"Coordinates of the itinerary intersection are NOT from pleiades but were calculated with the help of the AWMC rivers layer, although the distance does not fully coincide; Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3)",https://pleiades.stoa.org/places/285491,35.12429,-2.35079,flumen,"river, drainage"
47,,,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,navigatur,navigation,Lemnis,Lemnis,Lemnis?,m. p.,XXII,m. p. XXII,22.0,32.56,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/285476,35.073106,-2.102887,,settlement
48,,12.4,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,navigatur,navigation,Popleto flumen,Popletum flumen,Popleto,m. p.,XXX,m. p. XXX,30.0,44.4,Measurement is out of whack. It looks like the intersection of the modern Oued Tazult; Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/289946,,,flumen,"unlocated, river, drainage"
49,,,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,"ad, navigatur","preposition, navigation",Ad Fratres,Fratres,Ad Fratres?,m. p.,VI,m. p. VI,6.0,8.88,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/285393,35.101893,-1.858203,,station
50,,12.6,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,navigatur,navigation,Artisiga,Artisiga,Artisiga/Artisica/Gypsaria,m. p.,XXV,m. p. XXV,25.0,37.0,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/289925,,,,unlocated
51,,12.7,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,navigatur,navigation,Portu Caecili,Portus Caecili,Portus Caecili,m. p.,XII,m. p. XII,12.0,17.76,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/289947,,,portus,unlocated
52,,,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,navigatur,navigation,Siga municipium,Siga,Siga,m. p.,XV,m. p. XV,15.0,22.2,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/285521,35.2529245,-1.4517325000000000,municipium,settlement
53,,,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,navigatur,navigation,Portu Sigensi,Portus Sigensis,Portus Sigensis,m. p.,III,m. p. III,3.0,4.44,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/285504,35.29689,-1.46751,portus,settlement
54,,,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,navigatur,navigation,Camarata,Camarata,Camarata?,m. p.,XII,m. p. XII,12.0,17.76,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/285422,35.346511,-1.298801,,settlement
55,,,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,"ad, navigatur","preposition, navigation",Ad Salsum flumen,Salsum flumen,Salsum (river),m. p.,XII,m. p. XII,12.0,17.76,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/285515,35.4418489296,-1.22104192912,flumen,river
56,,13.4,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,"ad, navigatur","preposition, navigation",Ad Crispas,Crispae?,Ad Crispas,m. p.,XXV,m. p. XXV,25.0,37.0,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/289922,,,,unlocated
57,,13.5,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,navigatur,navigation,Silva colonia,Silva,Silva/Gilva Col.,m. p.,VI,m. p. VI,6.0,8.88,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/289951,,,colonia,unlocated
58,,,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,navigatur,navigation,Castra Puerorum,Castra Puerorum,Castra Puer(or)um,m. p.,VI,m. p. VI,6.0,8.88,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/285425,35.70429,-0.896073,castra,settlement
59,,,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,navigatur,navigation,Portus Divinos,Portus Divinus,Portus Divinus,m. p.,XVIII,m. p. XVIII,18.0,26.64,Direction and direction type are supplied based on the instructions for this segment of the route (see 9.2-3),https://pleiades.stoa.org/places/285502,35.705063,-0.637317,portus,settlement
60,,,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,,,Portus Magnos,Portus Magnus,Portus Magnus,m. p.,XXXVI,m. p. XXXVI,36.0,53.28,,https://pleiades.stoa.org/places/285503,35.807917,-0.266018,portus,settlement
61,,,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,,,Quiza municipium,Quiza,Quiza Cenitana,m. p.,XL,m. p. XL,40.0,59.2,,https://pleiades.stoa.org/places/295327,36.02993,0.24167900000000000,municipium,settlement
62,,,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,,,Arsenaria,Arsenaria,Arsennaria,m. p.,XL,m. p. XL,40.0,59.2,,https://pleiades.stoa.org/places/295219,36.334326,0.873111,,settlement
63,,,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,,,Cartenna colonia,Cartenna,Cartenna,m. p.,XVIII,m. p. XVIII,18.0,26.64,,https://pleiades.stoa.org/places/295240,36.510044,1.310964,colonia,settlement
64,,,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,,,Iar castellum,Iar castellum,Iar Castellum?,m. p.,XIIII,m. p. XIIII,14.0,20.72,,https://pleiades.stoa.org/places/295273,36.53072,1.568591,castellum,settlement
65,,,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,,,Cartili,Cartilis,Cartili?,m. p.,XII,m. p. XII,12.0,17.76,,https://pleiades.stoa.org/places/295242,36.549862,1.700044,,settlement
66,,,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,,,Gunugus,Gunugu,Gunugu,m. p.,XII,m. p. XII,12.0,17.76,,https://pleiades.stoa.org/places/295268,36.570982,1.90305,,settlement
67,,,1. PROVINCIAE AFRICAE,Rusadder-Caesarea,route,,,,Caesarea colonia,Caesarea,Iol Caesarea,m. p.,XII,m. p. XII,12.0,17.76,,https://pleiades.stoa.org/places/295279,36.607058,2.1918495,colonia,settlement
68,,,1. PROVINCIAE AFRICAE,Caesarea-Saldae,route,,,,,Caesarea,Iol Caesarea,,,,0.0,0.0,sub-itinerary supplied,https://pleiades.stoa.org/places/295279,36.607058,2.1918495,colonia,settlement
69,,,1. PROVINCIAE AFRICAE,Caesarea-Saldae,route,,,,Tipasa colonia,Tipasa,Tipasa,m. p.,XVI,m. p. XVI,16.0,23.68,,https://pleiades.stoa.org/places/295363,36.5942426756,2.44191772826,colonia,settlement
70,,,1. PROVINCIAE AFRICAE,Caesarea-Saldae,route,,,,Casae Calventi,Casae Calventi,Casae Calventi?,m. p.,XV,m. p. XV,15.0,22.2,,https://pleiades.stoa.org/places/295243,36.641597,2.68789,,settlement
71,,,1. PROVINCIAE AFRICAE,Caesarea-Saldae,route,,,,Icosium colonia,Icosium,Icosium,m. p.,XXXII,m. p. XXXII,32.0,47.36,,https://pleiades.stoa.org/places/295276,36.7689125,3.0532175,colonia,settlement
72,,,1. PROVINCIAE AFRICAE,Caesarea-Saldae,route,,,,Rusguniae colonia,Rusguniae,Rusguniae,m. p.,XV,m. p. XV,15.0,22.2,,https://pleiades.stoa.org/places/295331,36.7990945,3.2378935,colonia,settlement
73,,,1. PROVINCIAE AFRICAE,Caesarea-Saldae,route,,,,Rusubbicari,Rusibricari?,Rusubbicari Matidiae,m. p.,XXIIII,m. p. XXIIII,24.0,35.52,,https://pleiades.stoa.org/places/295333,36.801017,3.5646,,settlement
74,,,1. PROVINCIAE AFRICAE,Caesarea-Saldae,route,,,,Cisi municipium,Cissi,Cissi,m. p.,XII,m. p. XII,12.0,17.76,,https://pleiades.stoa.org/places/295253,36.877461,3.7334035,municipium,settlement
75,,,1. PROVINCIAE AFRICAE,Caesarea-Saldae,route,,,,Rusuccuru colonia,Rusuccuru,Rusuccuru,m. p.,XII,m. p. XII,12.0,17.76,,https://pleiades.stoa.org/places/295334,36.9128545,3.9096445000000000,colonia,settlement
76,,,1. PROVINCIAE AFRICAE,Caesarea-Saldae,route,,,,Iomnio municipio,Iomnium,Iomnium,m. p.,XVIII,m. p. XVIII,18.0,26.64,,https://pleiades.stoa.org/places/295280,36.8948925621601,4.123272201422560,municipium,settlement
77,,,1. PROVINCIAE AFRICAE,Caesarea-Saldae,route,,,,Rusazis municipium,Rusazus,Rusazus?,m. p.,XXXVIII,m. p. XXXVIII,38.0,56.24,,https://pleiades.stoa.org/places/305138,36.894041,4.420813,municipium,settlement
78,,,1. PROVINCIAE AFRICAE,Caesarea-Saldae,route,,,,Saldis colonia,Saldae,Saldae,m. p.,XXXV,m. p. XXXV,35.0,51.8,,https://pleiades.stoa.org/places/305142,36.740851,5.057965000000000,colonia,settlement
79,,,1. PROVINCIAE AFRICAE,Saldae-Rusicade,route,,,,,Saldae,Saldae,,,,0.0,0.0,sub-itinerary supplied,https://pleiades.stoa.org/places/305142,36.740851,5.057965000000000,colonia,settlement
80,,,1. PROVINCIAE AFRICAE,Saldae-Rusicade,route,,,,Musulubio,Muslubium,Muslubium,m. p.,XXVII,m. p. XXVII,27.0,39.96,,https://pleiades.stoa.org/places/305111,36.636739,5.246097,,settlement
81,,,1. PROVINCIAE AFRICAE,Saldae-Rusicade,route,,,,Coba municipium,Coba,Choba,m. p.,XXVIII,m. p. XXVIII,28.0,41.44,,https://pleiades.stoa.org/places/305062,36.6665775,5.4607425,municipium,settlement
82,,,1. PROVINCIAE AFRICAE,Saldae-Rusicade,route,,,,Igilgili colonia,Igilgili,Igilgili,m. p.,XXXVIIII,m. p. XXXVIIII,39.0,57.72,,https://pleiades.stoa.org/places/305095,36.8212995,5.766168,colonia,settlement
83,,,1. PROVINCIAE AFRICAE,Saldae-Rusicade,route,,,,Paccianis Matidie,Pacciani Matidiae,Paccianis Matidiae?/Tucca?,m. p.,XXIIII,m. p. XXIIII,24.0,35.52,,https://pleiades.stoa.org/places/305126,36.865147,6.1015385,,settlement
84,,,1. PROVINCIAE AFRICAE,Saldae-Rusicade,route,,,,Chulli municipium,Chullu,Chullu,m. p.,LX,m. p. LX,60.0,88.8,,https://pleiades.stoa.org/places/305063,37.0078525,6.562081,municipium,settlement
85,,,1. PROVINCIAE AFRICAE,Saldae-Rusicade,route,,,,Rusiccade,Rusicade,Rusicade/Thapsus,m. p.,L,m. p. L,50.0,74.0,,https://pleiades.stoa.org/places/305137,36.8814425,6.9055805,,settlement
86,,,1. PROVINCIAE AFRICAE,Rusicade-Hippo Regius,route,,,,Rusiccade,Rusicade,Rusicade/Thapsus,,,,0.0,0.0,sub-itinerary supplied,https://pleiades.stoa.org/places/305137,36.8814425,6.9055805,,settlement
87,,,1. PROVINCIAE AFRICAE,Rusicade-Hippo Regius,route,,,,Paratianis,Paratianis,Paratianis,m. p.,XXV,m. p. XXV,25.0,37.0,,https://pleiades.stoa.org/places/305128,36.91671,7.156637,,settlement
88,,,1. PROVINCIAE AFRICAE,Rusicade-Hippo Regius,route,,,,Culucitanis,Culucitani,Culucitanis?,m. p.,XVIII,m. p. XVIII,18.0,26.64,,https://pleiades.stoa.org/places/305069,37.030021,7.252483,,settlement
89,,,1. PROVINCIAE AFRICAE,Rusicade-Hippo Regius,route,,,,Tacatua,Tacatua,Tacatua,m. p.,XXII,m. p. XXII,22.0,32.56,,https://pleiades.stoa.org/places/305160,37.065966,7.380568,,settlement
90,,,1. PROVINCIAE AFRICAE,Rusicade-Hippo Regius,route,,,,Sullucu,Sulluctu,Sulluctu?,m. p.,XVIII,m. p. XVIII,18.0,26.64,,https://pleiades.stoa.org/places/305158,37.038565,7.33233,,settlement
91,,,1. PROVINCIAE AFRICAE,Rusicade-Hippo Regius,route,,,,Hippone Regio colonia,Hippo Regius,Hippo Regius,m. p.,XXXII,m. p. XXXII,32.0,47.36,,https://pleiades.stoa.org/places/305090,36.882478,7.751272,colonia,settlement
92,,,1. PROVINCIAE AFRICAE,Hippo Regius-Carthago-1,route,,,,,Hippo Regius,Hippo Regius,,,,0.0,0.0,sub-itinerary supplied,https://pleiades.stoa.org/places/305090,36.882478,7.751272,colonia,settlement
93,,,1. PROVINCIAE AFRICAE,Hippo Regius-Carthago-1,route,,ad,,Ad Dianam,Ad Dianam,Ad Dianam,m. p.,XXXII,m. p. XXXII,32.0,47.36,,https://pleiades.stoa.org/places/321634,,,mansio,unlocated
94,,,1. PROVINCIAE AFRICAE,Hippo Regius-Carthago-1,route,,,,Tuniza,Tuniza,Tuniza?,m. p.,XV,m. p. XV,15.0,22.2,,https://pleiades.stoa.org/places/315235,36.8912775,8.438117,mansio,settlement
95,,,1. PROVINCIAE AFRICAE,Hippo Regius-Carthago-1,route,,,,Thabraca,Tabraca,Thabraca,m. p.,XXIIII,m. p. XXIIII,24.0,35.52,,https://pleiades.stoa.org/places/315192,36.9567785,8.7497465,mansio,settlement
96,,,1. PROVINCIAE AFRICAE,Hippo Regius-Carthago-1,route,,,,Hippone Zarito,Hippo Zaritus,Hippo Diarrhytus,m. p.,LX,m. p. LX,60.0,88.8,,https://pleiades.stoa.org/places/315038,37.276147,9.873108,mansio,settlement
97,,,1. PROVINCIAE AFRICAE,Hippo Regius-Carthago-1,route,,,,Tuneiza,Tuneiza,Thinisa?/Tuneiza?/Tunisa?,m. p.,XX,m. p. XX,20.0,29.6,,https://pleiades.stoa.org/places/315212,37.2144672,10.1246134,mansio,settlement
98,,,1. PROVINCIAE AFRICAE,Hippo Regius-Carthago-1,route,,,,Membrone,Membro,Membrone?,m. p.,X,m. p. X,10.0,14.8,,https://pleiades.stoa.org/places/315076,37.100163,10.017825,mansio,settlement
