sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,310.6-7,16. Flaminia.,Roma-Brundisium,sum-route-start,Ab Vrbe per Picenum Anconam et inde Brindisium usque m. p. DCXXVII:,,,Vrbe,Roma,Roma,,,,,,https://pleiades.stoa.org/places/423025,41.8916621952495,12.49234282802,,,
2,,310.6-7,16. Flaminia.,Roma-Brundisium,sum-route-end,Ab Vrbe per Picenum Anconam et inde Brindisium usque m. p. DCXXVII:,,,Brundisium,Brundisium,Brundisium/Brentesion,m. p.,DCXXVII, m. p. DCXXVII,,,https://pleiades.stoa.org/places/442509,40.641136,17.946867,,,
3,,,16. Flaminia.,Roma-Brundisium,,,,,,Roma,Roma,,,,0.0,,https://pleiades.stoa.org/places/423025,41.8916621952495,12.49234282802,,urban,
4,,,16. Flaminia.,Roma-Brundisium,,,,,Ocriculi,Ocriculum,Ocriculum,m. p.,XLIIII,m. p. XLIIII,44.0,,https://pleiades.stoa.org/places/413231,42.412746,12.466611,,settlement,
5,,,16. Flaminia.,Roma-Brundisium,,,,,Narniae,Narnia,Narnia,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/413225,42.5187636,12.515683450000000,,settlement,
6,,,16. Flaminia.,Roma-Brundisium,,,,,Ad Martis,Ad Martis,Vicus Martis,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/413380,42.775577,12.524092,,settlement,
7,,,16. Flaminia.,Roma-Brundisium,,,,,Vemaniae,Mevania,Mevania,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/413200,42.93488,12.609394,,settlement,
8,,,16. Flaminia.,Roma-Brundisium,,,,,Nuceriae,Nuceria,Nuceria,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/413227,43.113857,12.788349,,settlement,
9,,,16. Flaminia.,Roma-Brundisium,,,,,Dubios,Dubii,Dubios,m. p.,VIII,m. p. VIII,8.0,,https://pleiades.stoa.org/places/416802,,,,unlocated,
10,,,16. Flaminia.,Roma-Brundisium,,,,,Prolaque,Prolaqueum,Prolaqueum,m. p.,VIII,m. p. VIII,8.0,,https://pleiades.stoa.org/places/413275,43.17905,12.98567,,station,
11,,,16. Flaminia.,Roma-Brundisium,,,,,Septempeda,Septempeda,Septempeda,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/413314,43.2353780132057,13.195865493531400,,defensive-wall,
12,,,16. Flaminia.,Roma-Brundisium,,,,,Trea,Trea,Trea,m. p.,VIIII,m. p. VIIII,9.0,,https://pleiades.stoa.org/places/413348,43.3190082,13.2913795,,settlement,
13,,,16. Flaminia.,Roma-Brundisium,,,,,Auximum,Auximum,Auximum,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/413045,43.486124,13.482435,,settlement,
14,,,16. Flaminia.,Roma-Brundisium,,,,,Ancona,Ancona,Ancon(a),m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/413014,43.618992666666700,13.516072666666700,,urban,
15,,,16. Flaminia.,Roma-Brundisium,,,,,Numana,Numana,Numana,m. p.,VIII,m. p. VIII,8.0,,https://pleiades.stoa.org/places/413228,43.511271,13.62142,,settlement,
16,,,16. Flaminia.,Roma-Brundisium,,,,,Potentia,Potentia,Potentia,m. p.,X,m. p. X,10.0,,https://pleiades.stoa.org/places/413272,43.4198358,13.667333250000000,,settlement,
17,,,16. Flaminia.,Roma-Brundisium,,,,,Castello Firmano,Castellum Firmanorum,Castellum Firmanorum,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/413069,43.183742,13.794334,castellum,settlement,
18,,,16. Flaminia.,Roma-Brundisium,,,,,Castro Truentino,Castrum Truentinum,Castrum Truentinum,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/413074,42.913675,13.904352,castra,settlement,
19,,,16. Flaminia.,Roma-Brundisium,,,,,Castro Novo,Castrum Novum,Castrum Novum,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/413073,42.752395,13.962266,castra,settlement,
20,,,16. Flaminia.,Roma-Brundisium,,,,,Hadriae,Hadria,Hatria (Picenum),m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/413163,42.5802,13.981081,,settlement,
21,,,16. Flaminia.,Roma-Brundisium,,,,,Ostia Aeterni,Aternum,Aternum,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/413039,42.4648345,14.214037000000000,,settlement,
22,,,16. Flaminia.,Roma-Brundisium,,,,,Angelum,Angelum,Angelum,m. p.,X,m. p. X,10.0,,https://pleiades.stoa.org/places/416776,,,,unlocated,
23,,,16. Flaminia.,Roma-Brundisium,,,,,Ortona,Ortona,Ortona,m. p.,XI,m. p. XI,11.0,,https://pleiades.stoa.org/places/413234,42.356904,14.405203,,settlement,
24,,,16. Flaminia.,Roma-Brundisium,,,,,Auxano,Anxanum,Anxanum,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/413017,42.233175,14.391377,,settlement,
25,,,16. Flaminia.,Roma-Brundisium,,,,,Histonios,Histonium,Histonium,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/413171,42.112716,14.709616,,settlement,
26,,,16. Flaminia.,Roma-Brundisium,,,,,Vscosio,Uscosium,Uscosium?,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/433177,41.96435,14.947224,,settlement,
27,,,16. Flaminia.,Roma-Brundisium,,,,,Arenio,Larinum,Larinum,m. p.,XIIII,m. p. XIIII,14.0,,https://pleiades.stoa.org/places/442629,41.8064879,14.917576800000000,,settlement,
28,,,16. Flaminia.,Roma-Brundisium,,,,,Corneli,Forum Corneli,Corneli,m. p.,XXVI,m. p. XXVI,26.0,,https://pleiades.stoa.org/places/442555,41.746851,15.329985,,station,
29,,,16. Flaminia.,Roma-Brundisium,,,,,Ponte Longo,Pons Longus,Sipontum,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/442797,41.60764915,15.89285425,pons,settlement,
30,,,16. Flaminia.,Roma-Brundisium,,,,,Sipunto,Sipontum,Sipous/Sipontum,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/442797,41.60764915,15.89285425,,settlement,
31,,,16. Flaminia.,Roma-Brundisium,,,,,Salinis,Salinae,Sal(a)pia(i)/Salinae,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/442759,41.403381,15.9933,,settlement,
32,,,16. Flaminia.,Roma-Brundisium,,,,,Aufidena,Aufidenum,Aufidena/Aufinum,m. p.,XL,m. p. XL,40.0,,https://pleiades.stoa.org/places/442484,41.33639,16.194104,,station,
33,,,16. Flaminia.,Roma-Brundisium,,,,,Respa,Respa,Respa,m. p.,XXIII,m. p. XXIII,23.0,,https://pleiades.stoa.org/places/442743,41.205554,16.599335,,station,
34,,,16. Flaminia.,Roma-Brundisium,,,,,Barium,Barium,Barium,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/442500,41.129222,16.870331,,settlement,
35,,,16. Flaminia.,Roma-Brundisium,,,,,Ernesto,Arnestum/Turris Caesaris,Ernesto,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/446241,41.008774,17.131109000000000,,unlocated,
36,,,16. Flaminia.,Roma-Brundisium,,,,,Gnatiae,Egnatia/Gnathia,Egnatia/Gnathia,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/442573,40.888326,17.391887,,settlement,
37,,,16. Flaminia.,Roma-Brundisium,,,,,Speluncis,Speluncae,Ad Speluncas,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/442447,40.756506,17.703709,,station,
38,,,16. Flaminia.,Roma-Brundisium,,,,,Brundisium,Brundisium,Brundisium,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/442678,40.553392,16.667984,,settlement,
