sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
11,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,,,,,Heraclea,Heraclea,Herakleia,m. p.,XI,m. p. XI,11.0,,https://pleiades.stoa.org/places/481861,41.011,21.342,,settlement,
12,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,,,,,Cellis,Cellae/Kellae,Cellae,m. p.,XXXIIII,m. p. XXXIIII,34.0,,https://pleiades.stoa.org/places/481783,40.7564735,21.679636000000000,,station,
13,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,,,,,Edessa,Edessa,Edessa (Macedonia),m. p.,XXVIII,m. p. XXVIII,28.0,,https://pleiades.stoa.org/places/491585,40.799718,22.053972,,settlement,
14,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,,,,,Pella,Pella,Pella/Diokletianoupolis,m. p.,XXVIII,m. p. XXVIII,28.0,,https://pleiades.stoa.org/places/491687,40.7543596457273,22.518224765547600,,settlement,There are two Pellas that could fit the description but this is the historical one
15,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,,,,,Thessalonice,Thessalonica,Thessalonica,m. p.,XXVII,m. p. XXVII,27.0,,https://pleiades.stoa.org/places/491741,40.628342,22.952885000000000,,settlement,
16,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,,,,,Mellissurgin,Melissurgis,Mellissurgin,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/491661,40.612681,23.3457935,,station,
17,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,,,,,Apollonia,Apollonia Mygdonia,Apollonia,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/491526,40.623703,23.469685,,settlement,
18,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,,,,,Amphipoli,Amphipolis,Amphipolis,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/501347,40.8258114808,23.8415794323,,"wall (of a city), city wall, settlement, fort",
19,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,,,,,Philippis,Philippi,Krenides/Philippi/Col. Augusta Iulia Philippensis,m. p.,XXXIII,m. p. XXXIII,33.0,,https://pleiades.stoa.org/places/501482,41.0126513396,24.2846372868,,"settlement, archaeological site",
20,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,,,,,Neapoli,Neapolis,Neapolis (Kavalla),m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/501523,40.934324,24.414039,,"settlement, port",
21,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,,,,,Acontisma,Akontisma,Akontisma,m. p.,VIIII,m. p. VIIII,9.0,,https://pleiades.stoa.org/places/501341,40.968007,24.538414,,station (road or coastal),
22,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,,,,,Topiro,Topeiros,Topeiros,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/501645,41.079556,24.773105,,settlement,
23,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,,,,,Cosinto,Kosinthos,Cosinto,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/507391,,,,unlocated,
24,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,,,,,Porsulis,Porsulae,*Porsulae/Maximianopolis,m. p.,XXIII,m. p. XXIII,23.0,,https://pleiades.stoa.org/places/501574,41.1284897725,25.3253931414,,settlement,
25,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,,,,,Brendice,Brendice,Brendike,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/507380,,,,unlocated,
26,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,,,,,Milolito,Milolitum,Milolito,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/507430,,,,unlocated,
27,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,,,,,Timpiro,Tempyra,Tempyra,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/507472,,,,unlocated,
28,,,17. Iter quod ducit a Durrachio PER MACEDONIAM  ET TRACHIAM Bizantium usque:,Dyrrhachium-Byzantium,,,,,Traianopoli,Traianopolis,Traianoupolis,m. p.,VIIII,m. p. VIIII,9.0,,https://pleiades.stoa.org/places/501649,40.858827,26.0572495,,settlement,
