sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
84,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,,,,Lussunio,Lussonium,Lussonium,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/197362,46.6561368302053,18.8818819652606,,fort-2,
85,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,Annamatia in medio,in medio,,Annamatia,Annamatia,Annamatia,,,,0.0,,https://pleiades.stoa.org/places/197118,46.886553,18.8864315,,fort,
86,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,,,,Intercisa,Intercisa,Intercisa,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/197323,46.9754585,18.936992,,fort,
87,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,Vetus Salinas in medio,in medio,,Vetus Salinas ,Vetus Salina,Vetus Salina,,,,0.0,,https://pleiades.stoa.org/places/197580,47.1246635,18.8651795,,fort,
88,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,,,,Matrica,Matrica,Matrica,m. p.,XXVI,m. p. XXVI,26.0,,https://pleiades.stoa.org/places/197372,47.3086945,18.914745500000000,,fort,
89,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,Campona in medio,in medio,,Campona ,Campona,Campona,,,,0.0,,https://pleiades.stoa.org/places/197187,47.3920155,18.984617,,fort,
90,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,,,,Aquinquo leg. II Adiut.,Aquincum,Aquincum,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/197130,47.564075,19.049522,legio,settlement,
91,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,A laco Felicis in medio,in medio,,A laco Felicis,Ad Lacum Felicis,Ad Lacum Felicis,,,,0.0,,https://pleiades.stoa.org/places/203097,,,lacus,unlocated,"A possible identification is Loco Felicis, stated at coord. 48.096382, 14.799821 By Löhberg. "
92,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,,,,Crumero,Crumerum,Crumerum,m. p.,XXXIII,m. p. XXXIII,33.0,,https://pleiades.stoa.org/places/197232,47.7583058,18.5374485,,fort-2,
93,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,Azao in medio,in medio,,Azao,Azaum,‘Azao’,,,,0.0,,https://pleiades.stoa.org/places/197155,47.727941,18.257768,,fort,
94,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,,,,Bregetione leg. I Adiut.,Brigetio,Brigetio,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/197180,47.735239,18.169507,legio,settlement,
95,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,Ad Mures et ad Statuas in medio,ad | in medio,,Ad Mures et Ad Statuas,Ad Mures et Ad Statuas,Ad Mures,,,,0.0,,https://pleiades.stoa.org/places/197074,47.710616,18.015417,,fort,Pleiades also has a separate location for Ad Statuas: https://pleiades.stoa.org/places/197086
96,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,,,,Arabona,Arrabona,Arrabona,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/197141,47.5,17.5,,settlement,
97,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,Quadratis in medio,in medio,,Quadratis,Quadrata Castra,Quadrata,,,,0.0,,https://pleiades.stoa.org/places/197463,47.736147,17.390445,,fort,
98,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,,,,Flexo,Flexum,Ad Flexum,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/197062,47.87441,17.26939,,fort,
99,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,Gerulata in medio,in medio,,Gerulata,Gerulatum,Gerulata,,,,0.0,,https://pleiades.stoa.org/places/128399,48.0560140814894,17.149535746105200,,fort,
100,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,,,,Carnunto leg. XIIII G. G.,Carnuntum,Carnuntum,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/128376,48.113346,16.867891,legio,fort,
101,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,Aequinoctio et Ala Nova in medio,,,Aequinoctio,Aequinoctium,Aequinoctium,,,,0.0,,https://pleiades.stoa.org/places/128353,48.117896,16.614782000000000,,fort,
102,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,,in medio,,Ala Nova,Ala Nova,Ala Nova,,,,0.0,,https://pleiades.stoa.org/places/128354,48.142474,16.473512,,fort,
103,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,Vindobona m. p. XXVII leg. X Gem.,,,Vindobona,Vindobona,Vindobona,m. p.,XXVII,m. p. XXVII,27.0,,https://pleiades.stoa.org/places/128537,48.211345,16.373946,legio,fort,
104,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,,,,Comagenis,Comagenis/Commagena,Comagena,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/128385,48.3310275,16.052051,,fort,
105,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,,,,Cetio,Cetium,Cetium,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/118629,48.20473,15.622695,,settlement,
106,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,,,,Arlape,Arelapa,Ar(e)lape,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/118571,48.212163,15.210423500000000,,fort,
107,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,,,,Loco Felicis,Locus Felicis,Lo(a)cus Felicis?,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/118811,48.096382,14.799821,lacus,fort,
108,,,7. ITEM DE PANNONIIS IN GALLIAS,Taurinum-Lauriacum,,,,,Lauriaco,Lauriacum,Lauriacum,m. p.|leg.,XX|III,m. p. XX leg. III,20.0,,https://pleiades.stoa.org/places/118802,48.2186795,14.470479000000000,,fort,
109,,,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Augusta Vindelicum-1,,,,,,Lauriacum,Lauriacum,,,,0.0,,https://pleiades.stoa.org/places/118802,48.2186795,14.470479000000000,,fort,
110,,,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Augusta Vindelicum-1,,,,,Ovilatus,Ovilava,Ovilava,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/118901,48.1733764179481,14.014603317327400,,settlement,
111,,,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Augusta Vindelicum-1,,,,,Ioviaco,Ioviacum,Ioviacum?,m. p.,XXVII,m. p. XXVII,27.0,,https://pleiades.stoa.org/places/118761,48.4203355,13.893892000000000,,fort,
112,,,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Augusta Vindelicum-1,,,,,Stanago,Stanaco,Stanacum,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/118972,48.486848,13.735695,,station,
113,,,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Augusta Vindelicum-1,,,,,Bolodoro,Boiodurum/Castra Batava,Boiodurum/Boiotro,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/118606,48.5723053,13.463311,,settlement,
114,,,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Augusta Vindelicum-1,,,,,Quintianis,Quintana Castra,Quintana,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/118919,48.668964,13.079326,,settlement,
115,,,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Augusta Vindelicum-1,,,,,Augustis,Augusta,Augusta,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/123072,,,,unlocated,Unclear if this is Augusta Vindelicum
116,,,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Augusta Vindelicum-1,,,,,Regino,Regina Castra,Reginum/Castra Regina,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/118929,49.0198074,12.098512250000000,,defensive-wall,
117,,,7. ITEM DE PANNONIIS IN GALLIAS,Lauriacum-Augusta Vindelicum-1,,,,,Abusina,Abusina,Abusina,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/118539,48.8500381470495,11.770967500976100,,fort,
