sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
26,,,8. De Italia per Histriam in Dalmatia.,Aquincum-Crumerum,,,,,Cirpi mansio,Cirpi,Cirpi,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/197208,47.7826585,19.054964500000000,mansio,fort,
27,,,8. De Italia per Histriam in Dalmatia.,Aquincum-Crumerum,,,ad,,Ad Herculem castra,Castra ad Herculem,Castra ad Herculem,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/197199,47.787477,18.888633500000000,castra,fort,
28,,,8. De Italia per Histriam in Dalmatia.,Aquincum-Crumerum,,,,,Solva mansio,Solva,Solva,m. p.,VIIII,m. p. VIIII,9.0,,https://pleiades.stoa.org/places/197519,47.795813,18.7392875,mansio,fort,"The ending point is not really missing, the castra represent it."
29,,266.14,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,sum-route-start,Item a Sirmio Carnunto m. p. CCCXI:,,,Sirmio,Sirmium,Sirmium,,,,,,https://pleiades.stoa.org/places/207447,44.966447,19.610106,,,
30,,266.14,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,sum-route-end,Item a Sirmio Carnunto m. p. CCCXI:,,,Carnunto,Carnuntum,Carnuntum,m. p.,CCCXI, m. p. CCCXI,,,https://pleiades.stoa.org/places/128376,48.113346,16.867891,,,
31,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,,,,,,Sirmium,Sirmium,,,,0.0,,https://pleiades.stoa.org/places/207447,44.966447,19.610106,,settlement,
32,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,,,,,Vlmo,Ulmo,‘Ulmo’,m. p.,XXVI,m. p. XXVI,26.0,,https://pleiades.stoa.org/places/207525,45.16406,19.151556,,station,
33,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,,,,,Cibalis,Cibalae,Cibalae,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/197207,45.291016,18.801056,,settlement,
34,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,,,,,Mursa,Mursa,Mursa,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/197389,45.560018,18.675749,,settlement,
35,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,,,,,Antianis,Antianae,Antiana,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/197120,45.804539,18.665075,,station,
36,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,,,,,Sopianis,Sopianae,Sopianae,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/197523,46.07335,18.228059,,settlement,
37,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,,,,,Ponte Mansuetiana,Pons Mansuetiana,Mansuetiana Pons,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/203138,,,pons,unlocated,
38,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,,,,,Tricciana,Tricciana,Tricciana,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/197558,46.837681,18.101446,,settlement,
39,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,,,,,Cimbrianis,Cimbrianae,Cimbrianis,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/203114,,,,unlocated,
40,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,,,,,Crispiana,Crispiana,Crispiana,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/197230,47.39096,17.803179,,station,
41,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,,,,,Arrabona,Arrabona,Arrabona,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/197141,47.5,17.5,,settlement,
42,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,,,,,Flexo,Flexum,Ad Flexum,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/197062,47.87441,17.26939,,fort,
43,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,,,,,Carnunto,Carnuntum,Carnuntum,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/128376,48.113346,16.867891,,fort,
44,,267.13,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,sum-route-start,Item a Sirmio Salonas m. p. CCLXXXIIII:,,,Sirmio,Sirmium,Sirmium,,,,,,https://pleiades.stoa.org/places/207447,44.966447,19.610106,,,
45,,267.13,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,sum-route-end,Item a Sirmio Salonas m. p. CCLXXXIIII:,,,Salonas,Salona,Salona,m. p.,CCLXXXIIII, m. p. CCLXXXIIII,,,https://pleiades.stoa.org/places/197488,43.539561,16.483426,,,
46,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,,,,,,Sirmium,Sirmium,,,,0.0,,https://pleiades.stoa.org/places/207447,44.966447,19.610106,,settlement,
47,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,,,,,Budalia,Budalia,Budalia,m. p.,VIII,m. p. VIII,8.0,,https://pleiades.stoa.org/places/206995,45.010018,19.463467,,station,
48,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,,,,,Hispaneta,Spaneta,Spaneta,m. p.,VIII,m. p. VIII,8.0,,https://pleiades.stoa.org/places/207460,45.082078,19.308365,,station,
49,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,,,,,Vlmo,Ulmo,‘Ulmo’,m. p.,X,m. p. X,10.0,,https://pleiades.stoa.org/places/207525,45.16406,19.151556,,station,
50,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,,,,,Cibalis,Cibalae,Cibalae,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/197207,45.291016,18.801056,,settlement,
51,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,,,,,Cirtisia,Cirtisia,Cirtisa,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/197209,45.285247,18.433879,,station,
52,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,,,,,Vrbate,Urbas,‘Urbate’,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/197567,45.097363,17.515144,,station,
53,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,,,,,Servitti,Servitium,Servitium,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/197509,45.151471,17.25609,,station,
54,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,,,ad,,Ad Ladios,Ad Ladios,Ad Ladios,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/197066,44.843222,17.255353,,station,
55,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,,,,,Aemate,Aematis,Aemate,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/197093,44.6534271333333,17.0335202,,settlement,
56,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,,,,,Leusaba,Leusaba,Leusaba,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/197350,44.416993,17.083952,,station,
57,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,,,,,Sarnade,Sarnade,Sarnade,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/197496,44.300466,16.866866,,station,
58,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,,,,,Salviae,Salvia,Salvia,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/197490,44.067371,16.779488,,station,
59,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,,,,,Pelva,Pelva,Pelva,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/197431,43.875555,16.7775,,settlement,
60,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,,,,,Aequo,Aequuum,Aequum,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/197095,43.739278,16.655704,,settlement,
61,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,,,,,Salonas,Salona,Salona,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/197488,43.539561,16.483426,,settlement,
62,,270.1-2,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,sum-route-start,Item ab Aquileia per Istriam Salonas m. p. CXCVIIII:,,,Aquileia,Aquileia,Aquileia,,,,,,https://pleiades.stoa.org/places/187290,45.769631,13.370946,,,
63,,270.1-2,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,sum-route-end,Item ab Aquileia per Istriam Salonas m. p. CXCVIIII:,,,Salonas,Salona,Salona,m. p.,CXCVIIII, m. p. CXCVIIII,,,https://pleiades.stoa.org/places/197488,43.539561,16.483426,,,
64,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,,,,,,Aquileia,Aquileia,,,,0.0,,https://pleiades.stoa.org/places/187290,45.769631,13.370946,,settlement,
65,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,,,,,Fonte Timavi,Fons Timavi,Fons Timavi,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/187383,45.7903786608938,13.589862971460700,fons,settlement,
66,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,,,,,Tergeste,Tergestum,Tergeste,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/187578,45.649148,13.7717,,urban,
67,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,,,,,Ningum,Ningum,Ad Ningum,m. p.,XXVIII,m. p. XXVIII,28.0,,https://pleiades.stoa.org/places/197075,45.336496,13.828551,,station,
68,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,,,,,Parentium,Parentium,Parentium,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/197427,45.227354,13.5948985,,settlement,
69,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,,,,,Pola,Pola,Pola,m. p.,XXXI,m. p. XXXI,31.0,,https://pleiades.stoa.org/places/197448,44.869567,13.841124,,settlement,
70,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,,traiectus sinus Liburnici Iader usque,,,sinus Liburnici,Liburnicus Sinus,Liburnia (region),,,,0.0,,https://pleiades.stoa.org/places/197353,44.4060887994283,15.129139759454600,sinus,region,Trait by sea. It seems like a general route indication rather than Sinus Liburnicus being an actual starting point. 
71,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,,,,,Iader,Iader,Iader,stadia, CCCCL,stadia CCCCL,450.0,,https://pleiades.stoa.org/places/197312,44.115501,15.223778,,urban,
72,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,,,,,Blandona,Blandona,Blandona,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/197172,43.986045,15.501533,,station,
73,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,,,,,Arausa,Arausa,Arausa,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/197133,43.804229,15.79233,,settlement,
74,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,,,,,Praetorio,Praetorium,Praetorium,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/903012852,,,,unknown,
75,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,,,,,Tragurio,Tragurium,Tragurium,m. p.,XV,m. p. XV,15.0,,https://pleiades.stoa.org/places/197555,43.517639,16.25063,,settlement,
76,,,8. De Italia per Histriam in Dalmatia.,Aquileia-Salona,,,,,Salonas,Salona,Salona,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/197488,43.539561,16.483426,,settlement,
77,,272.8-9,8. De Italia per Histriam in Dalmatia.,Aquileia-Siscia,sum-route-start,Ab Aquileia per Liburniam Sisciam m. p. CCXIII:,,,Aquileia,Aquileia,Aquileia,,,,,,https://pleiades.stoa.org/places/187290,45.769631,13.370946,,,
