sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,333.2-3,19. DE TRACHIA IN ASIAM:,Traianopolis-Callipolis,sum-route-start,A Traianopoli Callipoli ad traiectum  Asiae m. p. CXXVIIII:,,,Traianopoli,Traianopolis,Traianoupolis,,,,,,https://pleiades.stoa.org/places/501649,40.858827,26.0572495,,,
2,,333.2-3,19. DE TRACHIA IN ASIAM:,Traianopolis-Callipolis,sum-route-end,A Traianopoli Callipoli ad traiectum  Asiae m. p. CXXVIIII:,,,Callipoli,Callipolis,Callipoli,m. p.,CXXVIIII, m. p. CXXVIIII,,,https://omnesviae.org/#TPPlace1985,40.410355,26.68412,,,
3,,,19. DE TRACHIA IN ASIAM:,Traianopolis-Callipolis,,A Traianopoli Dimis,,,Traianopoli,Traianopolis,Traianoupolis,,,,0.0,,https://pleiades.stoa.org/places/501649,40.858827,26.0572495,,settlement,
4,,,19. DE TRACHIA IN ASIAM:,Traianopolis-Callipolis,,,,,Dimis,Dyme/Dymai,*Dymae,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/501407,40.939631,26.271198,,station (road or coastal),This is not really a sub-itinerary since the starting point is the same
5,,,19. DE TRACHIA IN ASIAM:,Traianopolis-Callipolis,,,,,Syrascele,Syrascellae,Syrascell(a)e/Sirogellis,m. p.,XXXVIII,m. p. XXXVIII,38.0,,https://pleiades.stoa.org/places/501632,40.884037,26.926366,,station (road or coastal),
6,,,19. DE TRACHIA IN ASIAM:,Traianopolis-Callipolis,,,,,Arris,Aproi,Aproi/Col. Claudia Aprensis/Nova Theodosiopolis,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/511153,40.969929,27.069889,,settlement,"I am using the coordinates of Omnesviae in this case, since they are slightly more accurate"
7,,,19. DE TRACHIA IN ASIAM:,Traianopolis-Callipolis,,,,,Afrodisiade,Afrodisias,Aphrodisias/Col. Flaviopolis,m. p.,XXXIIII,m. p. XXXIIII,34.0,,https://pleiades.stoa.org/places/501352,40.538708,26.834645,,settlement,
8,,,19. DE TRACHIA IN ASIAM:,Traianopolis-Callipolis,,,,,Callipoli,Callipolis,Callipoli,m. p.,XXIIII,m. p. XXIIII,24.0,,https://omnesviae.org/#TPPlace1985,40.410355,26.68412,,settlement,"Omnesviae is the only one that found the coordinates, based on the TP and the IA"
9,,333.9-10,19. DE TRACHIA IN ASIAM:,Callipolis-Lampsacus,sum-route-start,A Callipoli traiectum IN ASIA Lamsacum usque stadia LX.,,,Callipoli,Callipolis,Callipoli,,,,,,https://omnesviae.org/#TPPlace1985,40.410355,26.68412,,,
10,,333.9-10,19. DE TRACHIA IN ASIAM:,Callipolis-Lampsacus,sum-route-end,A Callipoli traiectum IN ASIA Lamsacum usque stadia LX.,,,Lamsacum,Lampsacus,Pityoussa/Lampsacus,stadia,LX,stadia LX.,,,https://pleiades.stoa.org/places/501570,40.346685,26.699162,,,
11,,,19. DE TRACHIA IN ASIAM:,Callipolis-Lampsacus,,Inde Abydo,inde,,Abydo,Abydos,Abydos,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/501325,40.19421564,26.4113127626,,"settlement, archaeological site",
12,,,19. DE TRACHIA IN ASIAM:,Callipolis-Lampsacus,,,,,Dardano,Dardanos,Dardanos,m. p.,VIIII,m. p. VIIII,9.0,,https://pleiades.stoa.org/places/501393,40.079727,26.37442,,settlement,
13,,,19. DE TRACHIA IN ASIAM:,Callipolis-Lampsacus,,,,,Ilio,Ilium,Ilium/Troia,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/550595,39.9574380796,26.2385156164,,settlement,
14,,,19. DE TRACHIA IN ASIAM:,Callipolis-Lampsacus,,,,,Troas,Alexandria Troas,Troas (region),m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/550944,39.8904865421,26.2976961303,,region,
15,,,19. DE TRACHIA IN ASIAM:,Callipolis-Lampsacus,,,,,Antandro,Antandros,Antandros,m. p.,XXXV,m. p. XXXV,35.0,,https://pleiades.stoa.org/places/550433,39.5785,26.791496,,settlement,
16,,,19. DE TRACHIA IN ASIAM:,Callipolis-Lampsacus,,,,,Adramitio,Adramittion,Adramyttium,m. p.,XXXI,m. p. XXXI,31.0,,https://pleiades.stoa.org/places/550403,39.4986400291,26.9360975594,,"settlement, archaeological site",
17,,,19. DE TRACHIA IN ASIAM:,Callipolis-Lampsacus,,,,,Pergamo,Pergamon,Pergamum,m. p.,LIII,m. p. LIII,53.0,,https://pleiades.stoa.org/places/550812,39.1325,27.184167,,settlement,
18,,,19. DE TRACHIA IN ASIAM:,Callipolis-Lampsacus,,,,,Germe,Germe,Germa,m. p.,XXV,m. p. XXV,25.0,,,39.511421,31.616172,,unknown,"Coordinates from Örberg, coming from Löhberg’s Index. Absent in Pleiades as far as I can see."
19,,,19. DE TRACHIA IN ASIAM:,Callipolis-Lampsacus,,,,,Thyatira,Thyateira,Thyateira,m. p.,XXXIII,m. p. XXXIII,33.0,,https://pleiades.stoa.org/places/550924,38.9201519892,27.8362160032,,"settlement, archaeological site",
20,,,19. DE TRACHIA IN ASIAM:,Callipolis-Lampsacus,,,,,Sardis,Sardes,Sardis/Hyde?,m. p.,XXXVI,m. p. XXXVI,36.0,,https://pleiades.stoa.org/places/550867,38.488314,28.040286,,settlement,
21,,,19. DE TRACHIA IN ASIAM:,Callipolis-Lampsacus,,,,,Philadelphia,Philadelphia,Philadelpheia,m. p.,XXVIII,m. p. XXVIII,28.0,,https://pleiades.stoa.org/places/550822,38.35037355,28.516621,,"settlement, settlement-modern",
22,,,19. DE TRACHIA IN ASIAM:,Callipolis-Lampsacus,,,,,Tripoli,Tripolis,Tripolis ad Maeandrum/Apollonia ad Maeandrum/Antoniopolis,m. p.,XXXIIII,m. p. XXXIIII,34.0,,https://pleiades.stoa.org/places/639152,38.050474,28.9608765,,settlement,
23,,,19. DE TRACHIA IN ASIAM:,Callipolis-Lampsacus,,,,,Hierapoli,Hierapolis,Hierapolis/Pamukkale,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/638860,37.926925,29.127859,,"settlement, bath, spa",
24,,,19. DE TRACHIA IN ASIAM:,Callipolis-Lampsacus,,,,,Laudicia,Laodicea,Laodicea ad Lycum/Diospolis/Roas,m. p.,VI,m. p. VI,6.0,,https://pleiades.stoa.org/places/638955,37.835939323878700,29.107388778855600,,settlement,
25,,337.3-4,19. DE TRACHIA IN ASIAM:,Salona-Dyrrhachium,sum-route-start,Item DE DALMATIA IN MACEDONIAM id est a Salonis Durrachium m. p. CCCIII sic:,,,Salonis,Salona,Salona,,,,,,https://pleiades.stoa.org/places/197488,43.539561,16.483426,,,
26,,337.3-4,19. DE TRACHIA IN ASIAM:,Salona-Dyrrhachium,sum-route-end,Item DE DALMATIA IN MACEDONIAM id est a Salonis Durrachium m. p. CCCIII sic:,,,Durrachium,Dyrrhachium, Dyrr(h)achium/Epidamnos,m. p.,CCCIII , m. p. CCCIII ,,,https://pleiades.stoa.org/places/481818,41.3163425,19.447355,,,
