sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
26,,,6. ITER TRACIAE.,Sebasteia-Kokussos-1,,,,,Ptandari,Tanadaris,Tanadaris,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/629091,38.422166,36.913591,,settlement,
27,,,6. ITER TRACIAE.,Sebasteia-Kokussos-1,,,,,Cocuso,Kokussos,Kokousos,m. p.,XXXVIII,m. p. XXXVIII,38.0,,https://pleiades.stoa.org/places/629013,38.031581,36.4983445,,settlement,
28,,178.6-7,6. ITER TRACIAE.,Sebasteia-Kokussos-2,sum-route-start,Item a Sebastia Cocuso per Caesaream m. p. CCLVIII:,,,Sebastia,Sebasteia,Sebasteia/Megalopolis?/Talaura?,,,,,,https://pleiades.stoa.org/places/629075,39.7490195,37.01660700000000,,,
29,,178.6-7,6. ITER TRACIAE.,Sebasteia-Kokussos-2,sum-route-end,Item a Sebastia Cocuso per Caesaream m. p. CCLVIII:,,,Cocuso,Kokussos,Kokousos,m. p.,CCLVIII, m. p. CCLVIII,,,https://pleiades.stoa.org/places/629013,38.031581,36.4983445,,,
30,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,,,,,,Sebasteia,Sebasteia/Megalopolis?/Talaura?,,,,0.0,,https://pleiades.stoa.org/places/629075,39.7490195,37.01660700000000,,settlement,
31,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,,,,,Scanatu,Scanatus,Scanatus,m. p.,XXVIII,m. p. XXVIII,28.0,,https://pleiades.stoa.org/places/622174,,,,unlocated,
32,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,,,,,Malandara,Malandara,Malandara,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/629031,39.3502785,36.4101085,,station,
33,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,,,,,Armaxa,Armaza,Armaxa,m. p.,XXVIII,m. p. XXVIII,28.0,,https://pleiades.stoa.org/places/628935,39.18618,36.0663835,,settlement,
34,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,,,,,Eulepa,Eulepa,Eulepa,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/628974,39.02792,35.870839000000000,,settlement,
35,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,,,per,,Caesarea,Mazaca Caesarea,Mazaka/Eusebeia/Caesarea,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/629035,38.72640055,35.4743607,,settlement,
36,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,,,,,Artaxata,Artaxata,Arasaxa,m. p.,XXVII,m. p. XXVII,27.0,,https://pleiades.stoa.org/places/628928,38.6239795,35.87671,,settlement,
37,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,,,,,Coduzalaba,Coduzalaba,Coduzalaba,m. p.,XVIIII,m. p. XVIIII,19.0,,https://pleiades.stoa.org/places/629009,38.15395,35.786827,,settlement,
38,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,,,,,Comana,Komana,Comana/Hierapolis/Chryse,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/628959,38.331325235828,36.32398483553570,,settlement,
39,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,,,,,Ptandari,Tanadaris,Tanadaris,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/629091,38.422166,36.913591,,settlement,
40,,,6. ITER TRACIAE.,Sebasteia-Kokussos-2,,,,,Cocuso,Kokussos,Kokousos,m. p.,XXXVIII,m. p. XXXVIII,38.0,,https://pleiades.stoa.org/places/629013,38.031581,36.4983445,,settlement,
41,,180.6-7,6. ITER TRACIAE.,Sebasteia-Kokussos-3,sum-route-start,Item a Sebastia Cocuso per compendium m. p. CCVI:,,,Sebastia,Sebasteia,Sebasteia/Megalopolis?/Talaura?,,,,,,https://pleiades.stoa.org/places/629075,39.7490195,37.01660700000000,,,
42,,180.6-7,6. ITER TRACIAE.,Sebasteia-Kokussos-3,sum-route-end,Item a Sebastia Cocuso per compendium m. p. CCVI:,,,Cocuso,Kokussos,Kokousos,m. p.,CCVI, m. p. CCVI,,,https://pleiades.stoa.org/places/629013,38.031581,36.4983445,,,
43,,,6. ITER TRACIAE.,Sebasteia-Kokussos-3,,,per compendium,,,Sebasteia,Sebasteia/Megalopolis?/Talaura?,,,,0.0,,https://pleiades.stoa.org/places/629075,39.7490195,37.01660700000000,,settlement,
44,,,6. ITER TRACIAE.,Sebasteia-Kokussos-3,,,,,Tonosa,Tonosa,Tonosa,m. p.,L,m. p. L,50.0,,https://pleiades.stoa.org/places/629099,39.283695,36.75576,,settlement,
45,,,6. ITER TRACIAE.,Sebasteia-Kokussos-3,,,,,Ariarathia,Ariarathia,Ariaratheia,m. p.,L,m. p. L,50.0,,https://pleiades.stoa.org/places/628934,38.723507,36.39233400000000,,settlement,
46,,,6. ITER TRACIAE.,Sebasteia-Kokussos-3,,,,,Coduzalaba,Coduzalaba,Coduzalaba,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/629009,38.15395,35.786827,,settlement,
47,,,6. ITER TRACIAE.,Sebasteia-Kokussos-3,,,,,Comana,Komana,Comana,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/629028,38.1898205,37.086546,,settlement,
48,,,6. ITER TRACIAE.,Sebasteia-Kokussos-3,,,,,Ptandari,Tanadaris,Tanadaris,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/629091,38.422166,36.913591,,settlement,
49,,,6. ITER TRACIAE.,Sebasteia-Kokussos-3,,,,,Cocuso,Kokussos,Kokousos,m. p.,XXXVIII,m. p. XXXVIII,38.0,,https://pleiades.stoa.org/places/629013,38.031581,36.4983445,,settlement,
50,,181.7-8,6. ITER TRACIAE.,Arabissos-Satala,sum-route-start,Item ab Arabisso per conpendium Satalam m. p. CCXXIII:,,,Arabisso,Arabissos/Tripotamos,Arabissos/Tripotamos,,,,,,https://pleiades.stoa.org/places/628925,38.246013,36.911673,,,
51,,181.7-8,6. ITER TRACIAE.,Arabissos-Satala,sum-route-end,Item ab Arabisso per conpendium Satalam m. p. CCXXIII:,,,Satalam,Satala,Satala,m. p.,CCXXIII, m. p. CCXXIII,,,https://pleiades.stoa.org/places/874684,40.02789515,39.59791835,,,
52,,,6. ITER TRACIAE.,Arabissos-Satala,,,per compendium,,,Arabissos/Tripotamos,Arabissos/Tripotamos,,,,0.0,,https://pleiades.stoa.org/places/628925,38.246013,36.911673,,settlement,
53,,,6. ITER TRACIAE.,Arabissos-Satala,,,,,Tonosa,Tonosa,Tonosa,m. p.,XXVIII,m. p. XXVIII,28.0,,https://pleiades.stoa.org/places/629099,39.283695,36.75576,,settlement,
54,,,6. ITER TRACIAE.,Arabissos-Satala,,,,,Zoana,Zoana,Zoana,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/629108,39.408267,37.091813,,settlement,
55,,,6. ITER TRACIAE.,Arabissos-Satala,,,,,Gundusa,Godasa,Gundusa,m. p.,XXIII,m. p. XXIII,23.0,,https://pleiades.stoa.org/places/628984,39.571371,37.308303,,settlement,
56,,,6. ITER TRACIAE.,Arabissos-Satala,,,,,Eumeis,Eumeis,Kamisa/Comassa,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/628997,39.845769,37.401155,,settlement,
57,,,6. ITER TRACIAE.,Arabissos-Satala,,,,,Sara,Zara,Zara,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/629105,39.89671,37.755439,,settlement,
58,,,6. ITER TRACIAE.,Arabissos-Satala,,,,,Dagalasso,Megalossus,Megalossos/‘Dagalasso’,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/857231,40.196836,37.980042,,station,
59,,,6. ITER TRACIAE.,Arabissos-Satala,,,,,Nicopoli,Nicopolis,Nicopolis,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/857248,40.1485567,38.14353355,,settlement,
60,,,6. ITER TRACIAE.,Arabissos-Satala,,,,,Olotoaelariza,Olotoedariza,Olotoedariza,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/857255,40.07737,38.594684,,settlement,
61,,,6. ITER TRACIAE.,Arabissos-Satala,,,ad,,Ad Dracones,Dagona/Ad Dracones,Dagona/Ad Dracones,m. p.,XXVI,m. p. XXVI,26.0,,https://pleiades.stoa.org/places/876612,,,,unlocated,Could this be Arauraka? 
