sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
23,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Brovonacis,Brovonacae,Brav(o)niacum,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/89123,54.624234,-2.562156,,fort,
24,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Verteris,Verterae,Verteris,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/89312,54.5214081465941,-2.3236738050528600,,fort,
25,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Lavatris,Lavatrae,Lavatris,m. p.,XIIII,m. p. XIIII,14.0,,https://pleiades.stoa.org/places/89224,54.514656,-2.012394,,fort,
26,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Cataractone,Cataractonium,Cataractonium,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/89143,54.3871953968295,-1.6547101467231000,,city-wall,
27,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Isuriam,Isurium,Isurium,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/89209,54.0906269504574,-1.3833365060314800,,settlement,
28,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Eburacum,Eburacum,Eburacum,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/89175,53.957672,-1.082304,,settlement,
29,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Calcaria,Calcaria,Calcaria,m. p.,VIIII,m. p. VIIII,9.0,,https://pleiades.stoa.org/places/89131,53.883085,-1.263805,,settlement,
30,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Camboduno,Cambodunum,Cambodunum,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/92124,,,,unlocated,
31,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Mamucio,Mamucium,‘Mamucio’,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/79590,53.4753159454251,-2.2541271299964700,,fort,
32,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Condate,Condate,Condate,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/79400,53.259423,-2.517363,,settlement,
33,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Deva leg. XX Vici,Deva,Deva,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/79420,53.1914685,-2.8939425000000000,legio,fort,
34,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Bovio,Bovium,Bovium?,m. p.,X,m. p. X,10.0,,https://pleiades.stoa.org/places/79340,53.0850587,-2.8899959,,settlement,
35,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Medialano,Mediolanum,Mediolanum,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/79597,52.967,-2.681,,settlement,
36,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Rutunio,Rutunium,Rutunium?,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/79663,52.846009,-2.645845,,station,
37,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Vrioconio,Urioconium/Viroconium,Viroconium,m. p.,XI,m. p. XI,11.0,,https://pleiades.stoa.org/places/79741,52.6744876516,-2.64381830093,,"settlement, amphitheatre, amphitheater, bath, spa",
38,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Vxacona,Uxacona,Uxacona,m. p.,XI,m. p. XI,11.0,,https://pleiades.stoa.org/places/79727,52.6950985,-2.4070175000000000,,settlement,
39,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Pennocrucio,Pennocrucium,Pennocrucium,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/79638,52.6939808741195,-2.1455246828496000,,fort-2,
40,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Etoceto,Etocetum/Letocetum,*Letocetum,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/79559,52.6563535,-1.853758,,settlement,
41,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Manduesedo,Manduessedum,Manduessedum,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/79592,52.566898,-1.529255,,settlement,
42,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Venonis,Venonae,Venonis,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/79732,52.49445,-1.301384,,settlement,
43,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Bannaventa,Bannaventa,Bannaventa,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/79313,52.276352,-1.0855870000000000,,settlement,
44,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Lactodoro,Lactodorum,Lactodorum,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/79552,52.131483,-0.9887305,,settlement,
45,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Magiovinto,Magiovinium,Magiovinium,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/79586,51.998623,-0.716167,,settlement,
46,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Durocobrivis,Durocobrivae,Durocobrivis,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/79434,51.883025,-0.528644,,settlement,
47,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Verolamio,Verolamium/Verulamium,Verulamium,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/79739,51.7520276421,-0.358468171293,,settlement,
48,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Sulloniacis,Sulloniacae,Sulloniacis,m. p.,VIIII,m. p. VIIII,9.0,,https://pleiades.stoa.org/places/79701,51.640552,-0.315192,,settlement,
49,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Londinio,Londinium,Londinium,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/79574,51.513335,-0.088949,,urban,
50,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Noviomago,Noviomagus,Noviomagus,m. p.,X,m. p. X,10.0,,https://pleiades.stoa.org/places/79623,51.444865,0.171434,,settlement,
51,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Vagniacis,Vagniaca,Vagniacis,m. p.,XVIIII,m. p. XVIIII,19.0,,https://pleiades.stoa.org/places/79729,51.431943,0.322311,,sanctuary,
52,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Durobrovis,Durobrivae,Durobrivae,m. p.,VIIII,m. p. VIIII,9.0,,https://pleiades.stoa.org/places/79433,51.3896486671913,0.5025971738785130,,settlement,
53,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Durolevo,Durolevum,Durolevum,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/799667225,,,,unlocated,May correspond with Ospringe in Kent
54,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,,,Duroruerno,Durovernum,*Durovernum,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/79439,51.279876,1.08386,,settlement,
55,,,27. ITER BRITTANIARUM.,Vallum Hadrianeum-Rutupiae,,,ad,,Ad portum Ritupis,Rutupiae,Rutupiae,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/79664,51.2935415461507,1.3323234050577800,portus,fort-2,
56,,473.1-2,27. ITER BRITTANIARUM.,Londinium-Portus Dubris,sum-route-start,Item a Londinio ad portum Dubris m. p. LXVI sic:,,,Londinio,Londinium,Londinium,,,,,,https://pleiades.stoa.org/places/79574,51.513335,-0.088949,,,
57,,473.1-2,27. ITER BRITTANIARUM.,Londinium-Portus Dubris,sum-route-end,Item a Londinio ad portum Dubris m. p. LXVI sic:,,,portum Dubris,Portus Dubris,Portus Dubris,m. p.,LXVI , m. p. LXVI ,,,https://pleiades.stoa.org/places/79646,51.123013,1.307512,,,
58,,,27. ITER BRITTANIARUM.,Londinium-Portus Dubris,,,,,,Londinium,Londinium,m. p.,LXVI,m. p. LXVI,66.0,,https://pleiades.stoa.org/places/79574,51.513335,-0.088949,,urban,
59,,,27. ITER BRITTANIARUM.,Londinium-Portus Dubris,,,,,Dubobrius,Durobrivae,Durobrivae,m. p.,XXVII,m. p. XXVII,27.0,,https://pleiades.stoa.org/places/79433,51.3896486671913,0.5025971738785130,,settlement,
60,,,27. ITER BRITTANIARUM.,Londinium-Portus Dubris,,,,,Durarueno,Durovernum,*Durovernum,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/79439,51.279876,1.08386,,settlement,
61,,,27. ITER BRITTANIARUM.,Londinium-Portus Dubris,,,ad,,Ad portum Dubris,Portus Dubris,Portus Dubris,m. p.,XIIII,m. p. XIIII,14.0,,https://pleiades.stoa.org/places/79646,51.123013,1.307512,portus,lighthouse,
62,,473.10,27. ITER BRITTANIARUM.,Londinium-Portus Lemanis,sum-route-start,Item a Londinio ad portum Lemanis m. p. LXVIII,,,Londinio,Londinium,Londinium,,,,,,https://pleiades.stoa.org/places/79574,51.513335,-0.088949,,,
63,,473.10,27. ITER BRITTANIARUM.,Londinium-Portus Lemanis,sum-route-end,Item a Londinio ad portum Lemanis m. p. LXVIII,,,portum Lemanis,Portus Lemanis,Portus Lemanis,m. p.,LXVIII, m. p. LXVIII,,,https://pleiades.stoa.org/places/79647,51.0686172742902,1.0211785200471400,,,
64,,,27. ITER BRITTANIARUM.,Londinium-Portus Lemanis,,,,,,Londinium,Londinium,,,,0.0,,https://pleiades.stoa.org/places/79574,51.513335,-0.088949,,urban,
65,,,27. ITER BRITTANIARUM.,Londinium-Portus Lemanis,,,,,Durobrivis,Durobrivae,Durobrivae,m. p.,XXVII,m. p. XXVII,27.0,,https://pleiades.stoa.org/places/79433,51.3896486671913,0.5025971738785130,,settlement,
66,,,27. ITER BRITTANIARUM.,Londinium-Portus Lemanis,,,,,Duraruenno,Durovernum,*Durovernum,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/79439,51.279876,1.08386,,settlement,
67,,,27. ITER BRITTANIARUM.,Londinium-Portus Lemanis,,,ad,,Ad portum Lemanis,Portus Lemanis,Portus Lemanis,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/79647,51.0686172742902,1.0211785200471400,portus,fort,
68,,474.1-2,27. ITER BRITTANIARUM.,Londinium-Luguvalium,sum-route-start,Item a Londinio Luguvalio ad vallum m. p. CCCCXLII:,,,Londinio,Londinium,Londinium,,,,,,https://pleiades.stoa.org/places/79574,51.513335,-0.088949,,,
69,,474.1-2,27. ITER BRITTANIARUM.,Londinium-Luguvalium,sum-route-end,Item a Londinio Luguvalio ad vallum m. p. CCCCXLII:,,,Luguvalio,Luguvalium,Luguvalium,m. p.,CCCCXLII, m. p. CCCCXLII,,,https://pleiades.stoa.org/places/89234,54.896035,-2.9376685,,,
70,,,27. ITER BRITTANIARUM.,Londinium-Luguvalium,,,,,,Londinium,Londinium,,,,0.0,,https://pleiades.stoa.org/places/79574,51.513335,-0.088949,,urban,
71,,,27. ITER BRITTANIARUM.,Londinium-Luguvalium,,,,,Caesaromago,Caesaromagus,Caesaromagus,m. p.,XXVIII,m. p. XXVIII,28.0,,https://pleiades.stoa.org/places/79364,51.735893,0.469629,,settlement,
72,,,27. ITER BRITTANIARUM.,Londinium-Luguvalium,,,,,Colonia,Colonia Camolodunum,Col. Camulodunum,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/79393,51.8900740264,0.901087762674,,settlement,
73,,,27. ITER BRITTANIARUM.,Londinium-Luguvalium,,,,,Villa Faustini,Villa Faustini,Villa Faustini,m. p.,XXXV,m. p. XXXV,35.0,,https://pleiades.stoa.org/places/83902,,,villa,unlocated,
74,,,27. ITER BRITTANIARUM.,Londinium-Luguvalium,,,,,Icinos,Venta Icinorum,Venta,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/79735,52.5834706266,1.29100306221,,"settlement, amphitheatre, amphitheater",
