"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"1dae0dda-1478-471e-8f02-81842c87a7af","Nikolaos-Sophianos-HQ-copia.jpg","Thermaicus Sinus","rect:x=7667,y=4047,w=378,h=506","PLACE","http://pleiades.stoa.org/places/491739","Thermaicus Sinus","","40.383333","22.783333","water-open","VERIFIED","",""
"16c9e870-a7cb-4d8d-8f22-bf0b39fe2001","Nikolaos-Sophianos-HQ-copia.jpg","Echedorus Fl.","tbox:x=7553,y=3843,a=-1.095609144520807,l=295,h=50","PLACE","","","","","","","UNVERIFIED","",""
"a5643b76-9db3-4deb-ae38-cc0efcd4ad52","Nikolaos-Sophianos-HQ-copia.jpg","Carrhabia","rect:x=7378,y=3979,w=-162,h=-139","PLACE","","","","","","","UNVERIFIED","",""
"5e1f1562-05e7-4561-850c-6ef37220c08e","Nikolaos-Sophianos-HQ-copia.jpg","Terpilus","rect:x=7265,y=3692,w=162,h=-114","PLACE","","","","","","","UNVERIFIED","",""
"dad4ac36-9058-4cb0-8e0e-47448241338e","Nikolaos-Sophianos-HQ-copia.jpg","Scotusa","rect:x=7405,y=2769,w=222,h=174","PLACE","","","","","","","UNVERIFIED","",""
"f16f3787-4902-453f-ad36-0af612d62679","Nikolaos-Sophianos-HQ-copia.jpg","Demensii","rect:x=8177,y=1354,w=337,h=101","PLACE","","","","","","","UNVERIFIED","",""
"d1859376-65b9-473f-913b-e49a1d0c2201","Nikolaos-Sophianos-HQ-copia.jpg","Rhelianum","rect:x=7711,y=1525,w=279,h=-140","PLACE","","","","","","","UNVERIFIED","",""
"1c8f8178-8a67-435e-9fb4-b07c9fb52953","Nikolaos-Sophianos-HQ-copia.jpg","Samothrace","rect:x=9643,y=3215,w=341,h=121","PLACE","http://pleiades.stoa.org/places/501596","Samothrace (island)|Megaloi Theoi, T.|Megaloi Theoi, T.|Megaloi Theoi, Paleapoli|Samothrace|Samothrace, Paleapoli, Kamariytissa|Samothrace Ins., Samothrake","-0750/0640","40.5009431","25.5302283","island,sanctuary,settlement,temple-2","VERIFIED","77",""
"13a45c16-9cba-4be0-929b-acd28addfdef","Nikolaos-Sophianos-HQ-copia.jpg","Lenos","rect:x=9244,y=3459,w=121,h=105","PLACE","http://pleiades.stoa.org/places/573335","Lenos","","","","unlocated","UNVERIFIED","",""
"f9aea6da-ef54-4ddf-85e9-616cf8289959","Nikolaos-Sophianos-HQ-copia.jpg","Aenus","rect:x=9707,y=3169,w=207,h=-164","PLACE","http://pleiades.stoa.org/places/118547","Aenus (river)|Aenus, Inn","","48.5736","13.478139","river","UNVERIFIED","90",""
"dbeafbe7-25d2-4ca4-b9a9-952f9a54133e","Nikolaos-Sophianos-HQ-copia.jpg","Pinum","tbox:x=7992,y=760,a=0.017239671194529696,l=226,h=188","PLACE","http://pleiades.stoa.org/places/446210","Ad Pinum","-0330/0300","","","unlocated","UNVERIFIED","",""
"561f74ab-d3e6-419b-a5e2-5a3a7dd2df55","Nikolaos-Sophianos-HQ-copia.jpg","Artace","rect:x=11828,y=1727,w=234,h=-144","PLACE","http://pleiades.stoa.org/places/511158","Artace|Artace, Erdek","-0700/2000","40.402952","27.796268","settlement","VERIFIED","",""
"a13bc1b2-e49e-465c-98b5-515f87340c49","Nikolaos-Sophianos-HQ-copia.jpg","Philia Pr.","rect:x=10921,y=1527,w=263,h=45","PLACE","http://pleiades.stoa.org/places/511360","Philia Pr.|Philia Pr., Kara Burun","","41.34838","28.68281","cape","VERIFIED","",""
"365ad204-aec4-43e7-a27d-120054902d56","Nikolaos-Sophianos-HQ-copia.jpg","Constantinopol Byzantion","rect:x=11046,y=1989,w=471,h=-303","PLACE","","","","","","","UNVERIFIED","",""
"81333b0b-798c-4ba8-ac41-c1c392db454e","Nikolaos-Sophianos-HQ-copia.jpg","Mysomacedones","tbox:x=11980,y=4296,a=0.0038461348810665237,l=506,h=66","PLACE","","","","","","","UNVERIFIED","",""
"3b172647-1896-4312-a09b-d9eda6c24fe4","Nikolaos-Sophianos-HQ-copia.jpg","Aleta","rect:x=4153,y=1926,w=191,h=-202","PLACE","http://pleiades.stoa.org/places/465848","Aleta","-0030/0300","","","settlement","VERIFIED","",""
"d7dcaf34-3b43-473a-935a-2e8e6c0f2bbe","Nikolaos-Sophianos-HQ-copia.jpg","Corcyra","rect:x=4021,y=2358,w=178,h=195","PLACE","http://pleiades.stoa.org/places/530834","Corcyra|Korkyra/Kerkyra/Corcyra, Kerkyra/Corfu","-0750/2100","39.60733","19.92178","settlement","VERIFIED","",""
"92ebedf4-3b28-45df-88fb-37eaaff77460","Nikolaos-Sophianos-HQ-copia.jpg","Narbona","rect:x=4620,y=2240,w=-249,h=-176","PLACE","http://pleiades.stoa.org/places/246347","Col. Narbo Martius|Col. Narbo Martius, Narbonne|Narbonne","-0750/2100","43.184722","3.003611","settlement","UNVERIFIED","",""
"f0846011-1865-466c-a7bc-39961e0fa8cb","Nikolaos-Sophianos-HQ-copia.jpg","Pegutium","rect:x=4189,y=2059,w=198,h=184","PLACE","","","","","","","UNVERIFIED","",""
"0150fa40-6408-480d-b077-7527c65aab81","Nikolaos-Sophianos-HQ-copia.jpg","Epetiu","rect:x=3968,y=1920,w=292,h=140","PLACE","","","","","","","UNVERIFIED","",""
"367598ad-76c9-4c2c-9414-12d94eb9dd54","Nikolaos-Sophianos-HQ-copia.jpg","Amantia","rect:x=5423,y=4437,w=209,h=148","PLACE","http://pleiades.stoa.org/places/456027","Amantia","0300/0640","","","unlocated","UNVERIFIED","",""
"aad63877-1e3e-4794-8f5e-62d7767221da","Nikolaos-Sophianos-HQ-copia.jpg","Moryllus","rect:x=8309,y=4142,w=-202,h=-118","PLACE","","","","","","","UNVERIFIED","",""
