title,uri,type,representative_latitude,representative_longitude,location_precision
Corbulonis Fossa,https://pleiades.stoa.org/places/99662,canal,52.105242150000000,4.4335503,rough
House of Leda and the Swan,https://pleiades.stoa.org/places/99692383,townhouse,40.752979989478300,14.484707113818200,precise
Puig de Castellet,https://pleiades.stoa.org/places/996799901,settlement,41.7160823,2.8480864,precise
Eanna,https://pleiades.stoa.org/places/996877399,temple-2,31.3243321,45.6402127,precise
Qasr el-Sagha temple,https://pleiades.stoa.org/places/996473997,temple-2,29.5950711,30.6778876,precise
Temple of Kalabsha,https://pleiades.stoa.org/places/996473998,temple-2,23.9608438,32.8676847,precise
Stary Sad,https://pleiades.stoa.org/places/99643110,cemetery,55.641119,76.716107,precise
Tall Karay Qāsim,https://pleiades.stoa.org/places/996331551,archaeological-site,36.6789,42.9257,precise
Villa dei Casoni,https://pleiades.stoa.org/places/991900272,ruin,42.2656628223218,12.708865203625300,precise
Alaca Höyük,https://pleiades.stoa.org/places/991964195,settlement,40.234484990622000,34.6952413366401,precise
Necropolis of Montessu,https://pleiades.stoa.org/places/991190962,cemetery,39.13324863544200,8.667492147842240,precise
Osrhoene,https://pleiades.stoa.org/places/991406,province,37.5,37.5,rough
Phoenice,https://pleiades.stoa.org/places/991410,province,32.5,37.5,rough
Syria Coele,https://pleiades.stoa.org/places/991407,province,37.5,37.5,rough
Augusta Euphratensis,https://pleiades.stoa.org/places/991401,province,37.5,37.5,rough
Cappadocia,https://pleiades.stoa.org/places/991402,province,37.5,37.5,rough
Arabia (late Roman province),https://pleiades.stoa.org/places/991408,province-2,32.5,37.5,rough
Augusta Libanensis,https://pleiades.stoa.org/places/991409,province,32.5,37.5,rough
Nuraghe Vignamarina,https://pleiades.stoa.org/places/991426364,nuraghe,41.2264835,9.192091,precise
Venetia et Histria,https://pleiades.stoa.org/places/991349,regio-augusti,47.5,12.5,rough
Lugdunensis II,https://pleiades.stoa.org/places/991324,province,47.5,-2.5,rough
Creta,https://pleiades.stoa.org/places/991373,diocese-roman,37.5,22.5,rough
Dacia Mediterranea,https://pleiades.stoa.org/places/991365,province,42.5,22.5,rough
Lugdunensis I,https://pleiades.stoa.org/places/991332,province,47.5,2.5,rough
Byzacena,https://pleiades.stoa.org/places/991345,province,32.5,7.5,precise
Mauretania Caesariensis (late Roman province),https://pleiades.stoa.org/places/991328,province,32.5,-2.5,rough
Diospontus,https://pleiades.stoa.org/places/991390,province,42.5,32.5,rough
Phrygia I,https://pleiades.stoa.org/places/991386,province,37.5,27.5,rough
Aegyptus Iovia,https://pleiades.stoa.org/places/991387,province,32.5,27.5,rough
Germania II,https://pleiades.stoa.org/places/991329,province,52.5,2.5,rough
Tuscia et Umbria,https://pleiades.stoa.org/places/991352,province-2,,,rough
Sardinia (late Roman province),https://pleiades.stoa.org/places/991344,province-2,37.5,7.5,rough
Narbonensis I,https://pleiades.stoa.org/places/991333,province-2,42.5,2.5,rough
Epirus Vetus,https://pleiades.stoa.org/places/991364,province,39.0157,20.7360035,rough
"Achaia (province, late)",https://pleiades.stoa.org/places/991372,province-2,37.5,22.5,rough
Novem Populi,https://pleiades.stoa.org/places/991325,province,42.5,-2.5,rough
Numidia Militiana,https://pleiades.stoa.org/places/991343,province,37.5,7.5,rough
Palaestina (province),https://pleiades.stoa.org/places/991396,province-2,32.5,32.5,rough
Scythia,https://pleiades.stoa.org/places/991379,province,42.5,27.5,rough
Sequania,https://pleiades.stoa.org/places/991338,province,47.5,7.5,rough
Apulia et Calabria,https://pleiades.stoa.org/places/991359,province,42.5,17.5,rough
Britannia II?,https://pleiades.stoa.org/places/991322,province,52.5,-2.5,rough
Libya Superior,https://pleiades.stoa.org/places/991375,province,,,rough
Praevalitana,https://pleiades.stoa.org/places/991363,province,42.5,17.5,rough
Mauretania Sitifensis,https://pleiades.stoa.org/places/991334,province,32.5,2.5,rough
Aemilia et Liguria,https://pleiades.stoa.org/places/991335,province,47.5,7.5,rough
