"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"a900b856-1334-4892-82ed-a1cf4e698868","dillereng.txt","Ionian","char-offset:3537","PLACE","http://pleiades.stoa.org/places/1046","Ionium Mare","-0750/0640","39.03244647555555","19.674861075555555","water-open","VERIFIED","",""
"c8b9426c-a8f6-4ba5-a466-ceac995d95bc","dillereng.txt","Iapygia","char-offset:3593","PLACE","http://pleiades.stoa.org/places/442763","Sallentinum/Iapygia|Sallentinum Pr./Iapygia Pr., Capo Santa Maria di Leuca","-0550/2100","39.796261","18.368275","cape","VERIFIED","",""
"2f57104d-3331-4516-b687-584588fdcedf","dillereng.txt","Ceraunian","char-offset:3608","PLACE","http://pleiades.stoa.org/places/481785","Ceraunii M.|Ceraunii M., Ceraunian Mountains","","40.198056","19.638889","mountain","VERIFIED","",""
"d7cb90b0-0825-4509-ac5c-bf087ad1a933","dillereng.txt","Epirus","char-offset:3631","PLACE","http://pleiades.stoa.org/places/530871","Epirus","-0750/0640","39.577073022222216","20.590387322222224","region","VERIFIED","",""
"098e5a0c-8ca1-4b57-afb5-d8c3e8d5bf13","dillereng.txt","Aegean","char-offset:3654","PLACE","http://pleiades.stoa.org/places/560221","Aegaeum Mare","-0550/2100","37.42245628773585","25.8829628235849","water-open","VERIFIED","",""
"72949287-64c4-4bfd-be44-51cfd6abffe8","dillereng.txt","Hellespont","char-offset:3675","PLACE","http://pleiades.stoa.org/places/981526","Hellespontus","","40.346685","26.699162","province","VERIFIED","",""
"603d4463-5707-4e9b-bbbb-3f64dd38df61","dillereng.txt","Abydus","char-offset:3696","PLACE","http://pleiades.stoa.org/places/501325","Abydos|Abydos, Maltepe","-0750/2000","40.19406","26.41122","settlement","VERIFIED","",""
"aaf2bbbf-f6b4-4f73-af24-5e3edeeb3cdc","dillereng.txt","Sestus","char-offset:3707","PLACE","http://pleiades.stoa.org/places/501609","Sestos|Sestos, Yalikabat","-0750/0300","40.21343","26.38916","settlement","VERIFIED","",""
"10e0edf5-c49b-48fc-bc1d-adbc6a150792","dillereng.txt","Propontis","char-offset:3724","PLACE","http://pleiades.stoa.org/places/511381","Propontis","-0550/2100","40.6666672","28.2499999","water-open","VERIFIED","",""
"ea3b7480-a268-47d7-a49d-c99569289d9d","dillereng.txt","Chalcedon","char-offset:3744","PLACE","http://pleiades.stoa.org/places/520988","Chalcedon|Chalcedon, Kadıköy","-0750/0640","40.983393","29.025789","settlement,port","VERIFIED","",""
"8e20c438-c339-49c9-8257-eab17bc5b5a3","dillereng.txt","Byzantium","char-offset:3758","PLACE","http://pleiades.stoa.org/places/520985","Constantinopolis|Byzantium|Byzantium/Byzantion/Constantinopolis, Istanbul","-0750/2100","41.012379","28.975926","settlement,urban","VERIFIED","",""
"98f4ce9e-3b53-49f2-bb9f-dcb01857dfb9","dillereng.txt","Pontus","char-offset:3806","PLACE","http://pleiades.stoa.org/places/857287","Pontus","-0550/0640","40.5","36.5","region","VERIFIED","",""
"fea18917-a8d8-4536-82b8-ba64f8938287","dillereng.txt","Maeotis","char-offset:3831","PLACE","http://pleiades.stoa.org/places/825318","Maeotis","-0750/0640","45.814417000000006","35.862586","water-open","VERIFIED","",""
"935b4d52-4989-4e95-b743-339449557115","dillereng.txt","Europe","char-offset:3869","PLACE","http://pleiades.stoa.org/places/1001887","Europe","","42.5","27.5","province","UNVERIFIED","",""
"31c951f1-36d6-411e-9046-cef5ee38cdf2","dillereng.txt","Libya","char-offset:3880","PLACE","http://pleiades.stoa.org/places/716588","Libya","-0030/0640","31.5","26.5","region","UNVERIFIED","",""
"0a83776a-572b-4e34-9206-d14a38bf5964","dillereng.txt","the Iberian Sea from the Pillars to Mt Pyrene","char-offset:3886","EVENT","","","","","","","","relation|navigational",""
"e6a56bd2-e74f-418d-a3e7-bcb66343181d","dillereng.txt","Iberian Sea","char-offset:3890","PLACE","http://pleiades.stoa.org/places/246419","Hispanum/(H)Ibericum Mare","","40.0000001","1.9999999","water-open","VERIFIED","",""
"96f30cf1-86f8-413b-afb5-4900618b3bee","dillereng.txt","Pillars","char-offset:3911","PLACE","http://pleiades.stoa.org/places/275614","Columnae Herculis","-0750/0300","35.9358335","-5.384583","cape","VERIFIED","",""
"f8db5afa-7846-4ba0-a0c3-f5cc673a4648","dillereng.txt","Pyrene","char-offset:3925","PLACE","http://pleiades.stoa.org/places/246582","Pyrenaei (mountains)|Pyrenaei Mons, Pyrenees Mts.","-0330/2100","42.67","1.0","mountain","VERIFIED","",""
"14bc65db-73ba-4458-a1ea-231d7c4c336f","dillereng.txt","Ligurian","char-offset:3937","PLACE","http://pleiades.stoa.org/places/157878","Ligusticum Mare","","43.5000002","8.9999997","water-open","VERIFIED","",""
"210ced2c-81bf-4dc2-b8a4-63b9828e3062","dillereng.txt","Etruria","char-offset:3971","PLACE","http://pleiades.stoa.org/places/413122","Etruria/Tuscia","-0750/0640","42.42102874792005","11.752744124826158","region","VERIFIED","",""
"573f57c0-5b86-4ce8-bb66-e4a862c1b7c7","dillereng.txt","Sardinian","char-offset:3984","PLACE","http://pleiades.stoa.org/places/472127","Sardoum Mare","","40.5","8.5","water-open","VERIFIED","",""
"89f38a77-04b0-49f6-ade5-dcd66919c5d2","dillereng.txt","Sardinia","char-offset:4001","PLACE","http://pleiades.stoa.org/places/991344","Sardinia","","37.5","7.5","province","VERIFIED","",""
"9ff3fb52-7553-4a92-9370-597534646447","dillereng.txt","Libya","char-offset:4031","PLACE","http://pleiades.stoa.org/places/716588","Libya","-0030/0640","31.5","26.5","region","VERIFIED","",""
"cdebe524-a310-46bc-846f-3eb5bdddad80","dillereng.txt","Tuscan","char-offset:4042","PLACE","http://pleiades.stoa.org/places/1356","Tyrrhenum/Inferum Mare","-0330/0640","41.66419815387763","12.054731855280693","water-open","VERIFIED","",""
"527047a7-db06-42c5-bf09-0eae4118aea6","dillereng.txt","Sicily","char-offset:4066","PLACE","http://pleiades.stoa.org/places/462492","Sicilia (island)","-0750/2100","37.53667611952188","14.08648464579389","island","VERIFIED","",""
"8df0ff1b-1df7-4ab6-abc0-4604a06bbaf1","dillereng.txt","Liguria","char-offset:4105","PLACE","http://pleiades.stoa.org/places/383698","Liguria","-0750/0640","44.22656549434755","9.235707726672372","region","VERIFIED","",""
"7e27e673-78f1-4f7a-a1fb-f637321f63ac","dillereng.txt","Libyan","char-offset:4123","PLACE","http://pleiades.stoa.org/places/716590","Libycum Mare","","31.5","25.5","water-open","VERIFIED","",""
