"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS"
"6729505f-b2f4-4291-aba1-d78f306f93df","Diller ocr.txt","Ἡρακλείων στηλῶν","char-offset:4245","PLACE","http://pleiades.stoa.org/places/275614","Columnae Herculis","-0750/0300","35.9358335","-5.384583","cape","VERIFIED","",""
"d5338545-d194-4e5f-9c1f-0c6be87b0eab","Diller ocr.txt","Ἡρακλείων","char-offset:4245","PERSON","","","","","","","","",""
"1ebcd4bf-f93b-4dce-92d4-cc7535878db5","Diller ocr.txt","στηλῶν","char-offset:4255","PLACE","","","","","","","UNVERIFIED","",""
"ff3633b3-b68c-47da-9a1b-ea06b8b1a3b2","Diller ocr.txt","τῆς δὲ Λιβύης ἀπὸ Τιγγὸς ἕως στόματος Κανωβικοῦ σταδίων μυριάδων δύο καὶ ˏθσνβ","char-offset:4292","EVENT","","","","","","","","extent|absolute",""
"a18feb4c-aeda-4b40-8718-bf1d9f994be2","Diller ocr.txt","Λιβύης","char-offset:4299","PLACE","http://pleiades.stoa.org/places/716588","Libya","-0030/0640","31.5","26.5","region","VERIFIED","concept|continent",""
"29616130-c4ac-4ab4-88ef-959b204844e1","Diller ocr.txt","Τιγγὸς","char-offset:4310","PLACE","http://pleiades.stoa.org/places/275736","Tingi|Tingis/Tingi, Tanger","-0550/0640","35.787168","-5.810419","settlement,port","VERIFIED","settlement",""
"836e2828-0e82-4f46-87e4-6abe656cec07","Diller ocr.txt","στόματος Κανωβικοῦ","char-offset:4321","PLACE","http://pleiades.stoa.org/places/727137","Kanobikon Stoma","-0550/0300","19.211408766666665","30.567329633333333","mouth","VERIFIED","natural feature|water mass",""
"c756ec29-358c-44b5-b7da-829c8643ff22","Diller ocr.txt","τῆς δ’ Ἀσίας ἀπὸ Κανώβου ἕως Τανάιδος ποταμοῦ μετά τῶν κόλπων ὁ παράπλους σταδίων μυριάδων δ καὶ ρια","char-offset:4372","EVENT","","","","","","","","extent|absolute","this kind of ""distance"" is actually an extent: when a distance is referred to a route, it is concrete measurement; where a distance is referred to a comprehensive measurement in a speculative context, where distances are just too long to be conceived for travel, it is in the domain of ""extent"". This speculative trait is demonstrated by the fact that different options for calculation are indicate: with or without gulfs."
"e468da1b-f847-4dd9-99a8-abc96c374887","Diller ocr.txt","Ἀσίας","char-offset:4379","PLACE","http://pleiades.stoa.org/places/981509","Asia","","37.5","27.5","province","VERIFIED","concept|continent",""
"b39c5247-3e88-48e6-bb24-52a26c057b1d","Diller ocr.txt","Κανώβου","char-offset:4389","PLACE","http://pleiades.stoa.org/places/727097","Canopus|Kanopos/Kanobos/Canopus, Abuqir","-0750/0640","31.320896","30.063645","settlement","VERIFIED","settlement",""
"04552740-7e7e-4f7e-94f2-11f428e3d0ef","Diller ocr.txt","Τανάιδος","char-offset:4401","PLACE","http://pleiades.stoa.org/places/59844","Iaxartes/Silis/Tanais (river)","-0330/0640","45.7077742","63.5889496","river","VERIFIED","natural feature|water mass|river",""
"96424374-84dd-4c46-98b7-75e5ac190c26","Diller ocr.txt","Τανάιδος ποταμοῦ","char-offset:4401","PLACE","","","","","","","UNVERIFIED","",""
"afd50d3d-34b1-4414-9bb0-c14840f5b348","Diller ocr.txt","τῶν κόλπων","char-offset:4423","PLACE","","","","","","","UNVERIFIED","natural feature|water mass|gulf",""
"bb44705d-ad23-4311-9106-9528886a55d7","Diller ocr.txt","παράλιος σῦν κόλποις τῆς καθ’ ἡμᾶς οἰκουμένης σταδίων μυριάδων ιγ καὶ, ˏθοβ","char-offset:4479","EVENT","","","","","","","","extent|absolute",""
"db23f870-f177-49e2-8062-cc583dd9cdf4","Diller ocr.txt","κόλποις","char-offset:4492","PLACE","","","","","","","UNVERIFIED","natural feature|water mass|gulf",""
"29292a6c-833c-47df-b977-e73a65ccaa4a","Diller ocr.txt","οἰκουμένης","char-offset:4514","PLACE","","","","","","","UNVERIFIED","concept",""
"2ad800d4-8d3d-4ab4-9262-6cc45a2487ce","Diller ocr.txt","τῆς Μαιώτιδος λίμνης, ἧς περίμετρος  σταδίων ˏθ","char-offset:4570","EVENT","","","","","","","","extent|absolute",""
"b38528e0-cafb-4464-9549-4668d05d5d66","Diller ocr.txt","Μαιώτιδος λίμνης","char-offset:4574","PLACE","","","","","","","UNVERIFIED","",""
"3428c5a9-206b-47e1-be34-ef496c1b1c78","Diller ocr.txt","Μαιώτιδος","char-offset:4574","PLACE","http://pleiades.stoa.org/places/825318","Maeotis","-0750/0640","45.814417000000006","35.862586","water-open","VERIFIED","natural feature|water mass|lake",""
"a09fb0a0-431b-4693-9709-6956c836b8f2","Diller ocr.txt","τὸ δὲ στόμα ὁ Κιμμέριος Βόσπορος","char-offset:4619","PLACE","","","","","","","UNVERIFIED","natural feature",""
"8630c5eb-8909-48cf-84ea-60a2e5e45d7e","Diller ocr.txt","τὸ δὲ στόμα ὁ Κιμμέριος Βόσπορος σταδίων κ","char-offset:4619","EVENT","","","","","","","","extent|absolute","this case is more ambiguous, but I would classify it as an extent because it does not describe the specific route used to measure the distance given."
"df1d30fe-d711-4e4a-a5de-5c08264b3991","Diller ocr.txt","τὸ δὲ στόμα ὁ Κιμμέριος Βόσπορος σταδίων κ","char-offset:4619","EVENT","","","","","","","","distance",""
"9a5e4525-a0b1-4a20-93d1-7991b4c569e5","Diller ocr.txt","Κιμμέριος Βόσπορος","char-offset:4633","PLACE","http://pleiades.stoa.org/places/854675","Cimmerius Bosp(h)orus","-0550/0640","45.35","36.65","water-open","VERIFIED","natural feature",""
"a857ce63-d0ba-4559-b039-d1543846b448","Diller ocr.txt","ὁ δὲ Πόντος σταδίων ˏγτν","char-offset:4666","EVENT","","","","","","","","extent|absolute","see above on Kimmerios Bosporos"
"b3688da6-7238-4222-850b-92be9d1ece39","Diller ocr.txt","Πόντος","char-offset:4671","PLACE","http://pleiades.stoa.org/places/1224","Pontus Euxinus","-0750/2100","43.0786852","34.7425505","water-open","VERIFIED","natural feature|water mass",""
"2041d7fc-1c3f-4526-974b-6cead601e6c4","Diller ocr.txt","ὁ δὲ Θράκιος Βόσπορος τὰ στενὰ ὅπῃ Δαρεῖος ἔζευξεν ἐπὶ Σκύθας τὴν σχεδίαν σταδίων ἕξ","char-offset:4692","EVENT","","","","","","","","extent|absolute",""
"f023b7e6-abde-411c-9e9c-4ddec8821a53","Diller ocr.txt","Θράκιος Βόσπορος","char-offset:4697","PLACE","http://pleiades.stoa.org/places/520977","Bosphorus","-0550/0640","41.119444","29.075278","water-open","VERIFIED","natural feature",""
"a5ea1662-8115-45d6-8649-a3567c60e8e3","Diller ocr.txt","τὰ στενὰ","char-offset:4714","PLACE","","","","","","","NOT_IDENTIFIABLE","natural feature",""
"9338fc63-80c7-4796-a2ee-714e3a01fcc1","Diller ocr.txt","Δαρεῖος","char-offset:4727","PERSON","","","","","","","","",""
"966a15da-2582-4cd2-9853-71ae4f188abd","Diller ocr.txt","Σκύθας","char-offset:4747","PLACE","http://pleiades.stoa.org/places/1273","Scythia","-0750/0640","47.5","27.5","region","VERIFIED","ethnos",""
"29fdb5f9-f237-4509-98d9-47ef7ccffc2e","Diller ocr.txt","Ἡ δὲ Περσικὴ θάλασσα κυκλοτερὴς οὖσα συνάγουσα τὸ στόμα ἄκρῳ Καρμανίας καὶ Ἀραβίας περίμετρον ἔχει μυριάδων δύο σταδίων","char-offset:4780","EVENT","","","","","","","","extent|absolute",""
"da72f19c-69cd-44bb-8e58-543f34391367","Diller ocr.txt","Περσικὴ","char-offset:4785","PLACE","http://pleiades.stoa.org/places/29713","Persicus Sinus/Erythr(ae)um Mare","-0750/2100","27.0000001","50.9999999","water-open","VERIFIED","natural feature|water mass|sea",""
"daff8891-a358-4109-a535-e73679ef64ab","Diller ocr.txt","Περσικὴ θάλασσα","char-offset:4785","PLACE","","","","","","","UNVERIFIED","",""
