UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,COMMANDERS,NUMBER OF SHIPS,NUMBER OF SOLDIERS
77065301-f410-4d54-baf0-69d6766d7cac,Catalogue of ships - Il. 2.txt,Meleager,char-offset:7593,PERSON,,,,,,,,,,,
95317a8d-504c-4b59-bb35-512627381d10,Catalogue of ships - Il. 2.txt,Thoas,char-offset:7666,PERSON,,,,,,,,,,,
7bc25bd6-f98a-4f56-9726-3dc53051e661,Catalogue of ships - Il. 2.txt,forty ships,char-offset:7683,EVENT,,,,,,,,,,,
798ef9cf-4c6f-40c0-b450-415464c9433b,Catalogue of ships - Il. 2.txt,Idomeneus,char-offset:7718,PERSON,,,,,,,,,,,
d06a8d7e-5385-4ebb-a325-fb1fa5f77ffa,Catalogue of ships - Il. 2.txt,Cretans,char-offset:7736,PLACE,http://pleiades.stoa.org/places/589748,Creta (island),-0750/2100,35.21984439173340,24.995769971494500,island,VERIFIED,Cretans,Idomeneus,80,
4438d1d2-9baa-47ae-bd1b-b9badb070688,Catalogue of ships - Il. 2.txt,Knossos,char-offset:7754,PLACE,http://pleiades.stoa.org/places/589872,"Knosos/Col. Iulia Nobilis Cnosos|Knosos/Col. Iulia Nobilis Cnosos, Knossos",-0750/0640,35.297847,25.163106,"settlement,architecturalcomplex",VERIFIED,Cretans,Idomeneus,,
666cdaca-ee74-4eb8-ad14-60178e0a3148,Catalogue of ships - Il. 2.txt,Gortys,char-offset:7791,PLACE,http://pleiades.stoa.org/places/570267,"Gortys|Gortys, Atsicholos, Gortyna",-0750/0300,37.534,22.041,settlement,VERIFIED,Cretans,Idomeneus,,
64040ae7-1fea-4e5e-8521-19db70fe0014,Catalogue of ships - Il. 2.txt,Lyktos,char-offset:7799,PLACE,http://pleiades.stoa.org/places/589918,"Lyktos|Lyktos/Lyttos, Pedhiadha",-0750/0640,35.207811,25.368687,settlement,VERIFIED,Cretans,Idomeneus,,
ab2c50a7-5941-474c-b1e7-778672bcf17c,Catalogue of ships - Il. 2.txt,Miletus,char-offset:7812,PLACE,http://pleiades.stoa.org/places/599799,"Miletus|Miletos/Miletus, Milet, Balat, Didim",-1750/2000,37.5292362,27.2774885,"theatre,settlement,port",VERIFIED,Cretans,Idomeneus,,
58c3605d-8322-476a-8fb2-0a1ee9576759,Catalogue of ships - Il. 2.txt,Lykastos,char-offset:7824,PLACE,http://pleiades.stoa.org/places/589917,"Lykastos|Lykastos, Rokka",-0330/0300,35.20224,25.10388,"settlement,fort",VERIFIED,Cretans,Idomeneus,,
accc8ec8-2d21-4137-951b-1e0f3c814ea2,Catalogue of ships - Il. 2.txt,Phaistos,char-offset:7881,PLACE,http://pleiades.stoa.org/places/589987,"Phaistos|Phaistos, Agios Ioanis",-1600/0640,35.05138,24.8143,"settlement,architecturalcomplex",VERIFIED,Cretans,Idomeneus,,
14540942-7a5e-42a9-baad-e3f9bf6abf2a,Catalogue of ships - Il. 2.txt,Rhytium,char-offset:7894,PLACE,http://pleiades.stoa.org/places/590033,"Rhytion/Rhytiassos|Rhytion/Rhytiassos, Rotasi",-0750/0300,35.010596,25.169935,settlement,VERIFIED,Cretans,Idomeneus,,
a1c0f967-51f5-4a58-a482-602c02e5a121,Catalogue of ships - Il. 2.txt,Crete,char-offset:7962,PLACE,http://pleiades.stoa.org/places/589748,Creta (island),-0750/2100,35.21984439173340,24.995769971494500,island,VERIFIED,Cretans,Idomeneus,,
eb47150a-e7f4-49e1-84ff-1e4c2be44293,Catalogue of ships - Il. 2.txt,Idomeneus,char-offset:7992,PERSON,,,,,,,,,,,
a0be5c13-ea50-43a7-b3ac-923cc4f65a0d,Catalogue of ships - Il. 2.txt,Meriones,char-offset:8010,PERSON,,,,,,,,,,,
f9f5fc20-281d-409d-941d-7489d925f996,Catalogue of ships - Il. 2.txt,Ares,char-offset:8038,PERSON,,,,,,,,,,,
76411426-b823-48c1-a111-1783be23878f,Catalogue of ships - Il. 2.txt,eighty ships,char-offset:8070,EVENT,,,,,,,,,,,
a4edc32b-a972-4ef1-bb00-eb089a8fb83d,Catalogue of ships - Il. 2.txt,Tlepolemos,char-offset:8084,PERSON,,,,,,,,,,,
bcce6e2f-d4af-4593-8897-82c9e9ee8abc,Catalogue of ships - Il. 2.txt,Herakles,char-offset:8103,PERSON,,,,,,,,,,,
af186ac2-7909-4a6f-8e83-30304201533c,Catalogue of ships - Il. 2.txt,nine ships,char-offset:8160,EVENT,,,,,,,,,,,
cfee59c1-52b2-4db8-85ca-6a4c1dc66ad7,Catalogue of ships - Il. 2.txt,Rhodes,char-offset:8195,PLACE,http://pleiades.stoa.org/places/590031,"Kamiros|Apollo Erethimios, T.|Ialysos|Ialysus/Ialysos, Trianda, Ialysos|Lindos|Lindos/Lindus, Lindos|Apollo Erethimios, Apollo Erethimios|Rhodos (island)|Rhodos Ins., Rhodos|Rhodos|Rhodos, Rhodos|Kamiros/Camirus, Kamiros, Kalavarda",-1200/2100,36.41451,28.15629,"island,settlement,temple-2,stadion",VERIFIED,Rhodians,Tleptolemos,9,
d6e90580-331a-444c-812c-1da24498898b,Catalogue of ships - Il. 2.txt,Rhodes,char-offset:8219,PLACE,http://pleiades.stoa.org/places/590031,"Kamiros|Apollo Erethimios, T.|Ialysos|Ialysus/Ialysos, Trianda, Ialysos|Lindos|Lindos/Lindus, Lindos|Apollo Erethimios, Apollo Erethimios|Rhodos (island)|Rhodos Ins., Rhodos|Rhodos|Rhodos, Rhodos|Kamiros/Camirus, Kamiros, Kalavarda",-1200/2100,36.41451,28.15629,"island,settlement,temple-2,stadion",VERIFIED,Rhodians,,,
5016692d-1c42-4360-b3ad-38eb8ab7a447,Catalogue of ships - Il. 2.txt,Lindos,char-offset:8269,PLACE,http://pleiades.stoa.org/places/589913,"Kamiros|Apollo Erethimios, T.|Ialysos|Ialysus/Ialysos, Trianda, Ialysos|Lindos|Lindos/Lindus, Lindos|Apollo Erethimios, Apollo Erethimios|Rhodos (island)|Rhodos Ins., Rhodos|Rhodos|Rhodos, Rhodos|Kamiros/Camirus, Kamiros, Kalavarda",-1200/2100,36.41451,28.15629,"island,settlement,temple-2,stadion",VERIFIED,Rhodians,Tleptolemos,,
c8f5d740-be3b-468f-a892-3bb3361f1234,Catalogue of ships - Il. 2.txt,Ialysos,char-offset:8277,PLACE,http://pleiades.stoa.org/places/589815,"Kamiros|Apollo Erethimios, T.|Ialysos|Ialysus/Ialysos, Trianda, Ialysos|Lindos|Lindos/Lindus, Lindos|Apollo Erethimios, Apollo Erethimios|Rhodos (island)|Rhodos Ins., Rhodos|Rhodos|Rhodos, Rhodos|Kamiros/Camirus, Kamiros, Kalavarda",-1200/2100,36.41451,28.15629,"island,settlement,temple-2,stadion",VERIFIED,Rhodians,Tleptolemos,,
