sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
3,,,10. Via Aurelia.,Roma-Arelate,route,,,,,Roma,Roma,,,,0.0,,https://pleiades.stoa.org/places/423025,41.8916621952495,12.49234282802,,urban,
4,,,10. Via Aurelia.,Roma-Arelate,route,,,,Loria,Lorium,Lorium,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/422963,41.9021045,12.2847625,,station,
5,,,10. Via Aurelia.,Roma-Arelate,route,,ad,,Ad Turres,Ad Turres,Ad Turres,m. p.,X,m. p. X,10.0,,https://pleiades.stoa.org/places/422818,41.936099,12.155414,turris,station,
6,,,10. Via Aurelia.,Roma-Arelate,route,,,,Pyrgos,Pyrgi,Pyrgi,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/433061,42.0153455,11.963217,,sanctuary,
7,,,10. Via Aurelia.,Roma-Arelate,route,,,,Castro Novo,Castrum Novum,Castrum Novum,m. p.,VIII,m. p. VIII,8.0,,https://pleiades.stoa.org/places/432772,42.035284914155504,11.8334515368828,castra,settlement,
8,,,10. Via Aurelia.,Roma-Arelate,route,,,,Centum Cellis,Centumcellae,Centum Cellae,m. p.,V,m. p. V,5.0,,https://pleiades.stoa.org/places/413076,42.091179,11.79681,,settlement,
9,,,10. Via Aurelia.,Roma-Arelate,route,,,,Martha,Martanum,Martanum,m. p.,X,m. p. X,10.0,,https://pleiades.stoa.org/places/413194,42.234372,11.696467,,settlement,
10,,,10. Via Aurelia.,Roma-Arelate,route,,,,Forum Aureli,Forum Aureli,Forum Aurelii,m. p.,XIIII,m. p. XIIII,14.0,,https://pleiades.stoa.org/places/413143,42.351426,11.607969,forum,settlement,
11,,,10. Via Aurelia.,Roma-Arelate,route,,,,Cosam,Cosa,Cosa,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/413107,42.4114104480815,11.2883770390906,,settlement,
12,,,10. Via Aurelia.,Roma-Arelate,route,,ad,,Ad lacum Aprilem,Ad lacum Aprilem,Prilius L.,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/403264,42.782295,10.9180743,lacus,lake,
13,,,10. Via Aurelia.,Roma-Arelate,route,,,,Salebrone,Salebro,Salebro?,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/403269,42.765854,10.882348,,settlement,
15,,,10. Via Aurelia.,Roma-Arelate,route,,,,Populonium,Populonium,Populonium,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/403212,42.9884196982075,10.4899392210819,,settlement,
16,,,10. Via Aurelia.,Roma-Arelate,route,,,,Vadis Volaterranis,Vada Volaterrana,Vada Volaterrana,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/403288,43.3584548,10.4477353,,settlement,
