sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
38,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,route,,,,Tricciana,Tricciana,Tricciana,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/197558,46.837681,18.101446,,settlement,
40,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,route,,,,Crispiana,Crispiana,Crispiana,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/197230,47.39096,17.803179,,station,
41,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,route,,,,Arrabona,Arrabona,Arrabona,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/197141,47.5,17.5,,settlement,
42,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,route,,,,Flexo,Flexum,Ad Flexum,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/197062,47.87441,17.26939,,fort,
43,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Carnutum,route,,,,Carnunto,Carnuntum,Carnuntum,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/128376,48.113346,16.867891,,fort,
46,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,route,,,,,Sirmium,Sirmium,,,,0.0,,https://pleiades.stoa.org/places/207447,44.966447,19.610106,,settlement,
47,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,route,,,,Budalia,Budalia,Budalia,m. p.,VIII,m. p. VIII,8.0,,https://pleiades.stoa.org/places/206995,45.010018,19.463467,,station,
48,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,route,,,,Hispaneta,Spaneta,Spaneta,m. p.,VIII,m. p. VIII,8.0,,https://pleiades.stoa.org/places/207460,45.082078,19.308365,,station,
49,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,route,,,,Vlmo,Ulmo,‘Ulmo’,m. p.,X,m. p. X,10.0,,https://pleiades.stoa.org/places/207525,45.16406,19.151556,,station,
50,,,8. De Italia per Histriam in Dalmatia.,Sirmium-Salona,route,,,,Cibalis,Cibalae,Cibalae,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/197207,45.291016,18.801056,,settlement,
