sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-full,distance_modern,revised_distance,comment,place_uri,latitude,longitude,placetype,placetype_pleiades
134,,24.7,1. PROVINCIAE AFRICAE,Cirta-Sitifis,sum-route,Sitifi m. p. C,,,Sitifi,Sitifis,Sitifis,m. p.,C,m. p. C,,,,https://pleiades.stoa.org/places/305153,36.1921446504379,5.40418082407224,,
140,,25.1,1. PROVINCIAE AFRICAE,Sitifis-Caesarea,sum-route,,,,,Sitifis,Sitifis,,,,,,,https://pleiades.stoa.org/places/305153,36.1921446504379,5.40418082407224,,
141,,25.1,1. PROVINCIAE AFRICAE,Sitifis-Caesarea,sum-route,"Caesarea m. p. ?, sic:",,,Caesarea,Caesarea,Iol Caesarea,m. p.,?,m. p. ?,,,,https://pleiades.stoa.org/places/295279,36.607058,2.1918495,,
156,,31.6,1. PROVINCIAE AFRICAE,Sitifis-Saldae,sum-route,Item a Sitifi Saldas m. p. LXXVIIIIS,,,Sitifi,Sitifis,Sitifis,,,,,,,https://pleiades.stoa.org/places/305153,36.1921446504379,5.40418082407224,,
157,,31.6,1. PROVINCIAE AFRICAE,Sitifis-Saldae,sum-route,Item a Sitifi Saldas m. p. LXXVIIIIS,,,Saldas,Saldae,Saldae,m. p.,LXXVIIIIS, m. p. LXXVIIIIS,,,,https://pleiades.stoa.org/places/305142,36.740851,5.057965,,
163,,32.4,1. PROVINCIAE AFRICAE,Lambaesis-Sitifis,sum-route,Item a Lambese Sitifi m. p. CIIS:,,,Lambese,Lambaesis,Lambaesis,,,,,,,https://pleiades.stoa.org/places/334570,35.4896642309727,6.25484105101573,,
164,,32.4,1. PROVINCIAE AFRICAE,Lambaesis-Sitifis,sum-route,Item a Lambese Sitifi m. p. CIIS:,,,Sitifi,Sitifis,Sitifis,m. p.,CIIS, m. p. CIIS,,,,https://pleiades.stoa.org/places/305153,36.1921446504379,5.40418082407224,,
170,,33.2-3,1. PROVINCIAE AFRICAE,Theveste-Sitifis,sum-route,Item a Theveste per Lambesem Sitifi m. p. CCXII:,,,Theveste,Theveste,Theveste,,,,,,,https://pleiades.stoa.org/places/324831,35.404174,8.1223145,,
171,,33.2-3,1. PROVINCIAE AFRICAE,Theveste-Sitifis,sum-route,Item a Theveste per Lambesem Sitifi m. p. CCXII:,,,Sitifi,Sitifis,Sitifis,m. p.,CCXII, m. p. CCXII,,,,https://pleiades.stoa.org/places/305153,36.1921446504379,5.40418082407224,,
184,,34.7,1. PROVINCIAE AFRICAE,Turres Caesaris-Cirta,sum-route,Item a Turres Caesaris Cirta m. p. XL:,,,Cirta,Cirta,Cirta/Constantina,m. p.,XL, m. p. XL,,,,https://pleiades.stoa.org/places/305064,36.3681146666667,6.61330266666667,,
188,,35.2,1. PROVINCIAE AFRICAE,Tamugadi-Lamasba,sum-route,Item a Tamugadi Lamasba m. p. LXII:,,,Tamugadi,Tamugadi,Thamugadi,,,,,,,https://pleiades.stoa.org/places/334636,35.4852165,6.4682225,,
189,,35.2,1. PROVINCIAE AFRICAE,Tamugadi-Lamasba,sum-route,Item a Tamugadi Lamasba m. p. LXII:,,,Lamasba,Lamasba,Lamasba,m. p.,LXII, m. p. LXII,,,,https://pleiades.stoa.org/places/334569,35.6283625,5.91058,,
194,,35.6,1. PROVINCIAE AFRICAE,Lamasba-Sitifis,sum-route,Item a Lamasba Sitifi m. p. LXII sic:,,,Lamasba,Lamasba,Lamasba,,,,,,,https://pleiades.stoa.org/places/334569,35.6283625,5.91058,,
195,,35.6,1. PROVINCIAE AFRICAE,Lamasba-Sitifis,sum-route,Item a Lamasba Sitifi m. p. LXII sic:,,,Sitifi,Sitifis,Sitifis,m. p.,LXII , m. p. LXII ,,,,https://pleiades.stoa.org/places/305153,36.1921446504379,5.40418082407224,,
201,,36.3,1. PROVINCIAE AFRICAE,Calama-Rusuccuru,sum-route,Item a Calama Rusuccurru m. p. CCCXCIIII:,,,Rusuccurru,Rusuccuru,Rusuccuru,m. p.,CCCXCIIII, m. p. CCCXCIIII,,,,https://pleiades.stoa.org/places/295334,36.9128545,3.9096445,,
224,,39.2,1. PROVINCIAE AFRICAE,Rusuccuru-Saldae,sum-route,Item Rusuccuro Saldis m. p. XCVII:,,,Rusuccuro,Rusuccuru,Rusuccuru,,,,,,,https://pleiades.stoa.org/places/295334,36.9128545,3.9096445,,
225,,39.2,1. PROVINCIAE AFRICAE,Rusuccuru-Saldae,sum-route,Item Rusuccuro Saldis m. p. XCVII:,,,Saldis,Saldae,Saldae,m. p.,XCVII, m. p. XCVII,,,,https://pleiades.stoa.org/places/305142,36.740851,5.057965,,
231,,39.7,1. PROVINCIAE AFRICAE,Saldae-Igilgili,sum-route,Item a Saldis Igilgili m. p. CLVIIII:,,,Saldis,Saldae,Saldae,,,,,,,https://pleiades.stoa.org/places/305142,36.740851,5.057965,,
232,,39.7,1. PROVINCIAE AFRICAE,Saldae-Igilgili,sum-route,Item a Saldis Igilgili m. p. CLVIIII:,,,Igilgili,Igilgili,Igilgili,m. p.,CLVIIII, m. p. CLVIIII,,,,https://pleiades.stoa.org/places/305095,36.8212995,5.766168,,
241,,42.6,1. PROVINCIAE AFRICAE,Lambaesis-Cirta,sum-route,Item a Lambese Cirta m. p. LXXXIIIS:,,,Lambese,Lambaesis,Lambaesis,,,,,,,https://pleiades.stoa.org/places/334570,35.4896642309727,6.25484105101573,,
242,,42.6,1. PROVINCIAE AFRICAE,Lambaesis-Cirta,sum-route,Item a Lambese Cirta m. p. LXXXIIIS:,,,Cirta,Cirta,Cirta/Constantina,m. p.,LXXXIIIS, m. p. LXXXIIIS,,,,https://pleiades.stoa.org/places/305064,36.3681146666667,6.61330266666667,,
248,,41.3,1. PROVINCIAE AFRICAE,Musti-Cirta,sum-route,Item a Musti Cirta m. p. CXCVIIIIS:,,,Musti,Musti,Musti,,,,,,,https://pleiades.stoa.org/places/315085,36.336066,9.143109,,
249,,41.3,1. PROVINCIAE AFRICAE,Musti-Cirta,sum-route,Item a Musti Cirta m. p. CXCVIIIIS:,,,Cirta,Cirta,Cirta/Constantina,m. p.,CXCVIIIIS, m. p. CXCVIIIIS,,,,https://pleiades.stoa.org/places/305064,36.3681146666667,6.61330266666667,,
258,,42.4,1. PROVINCIAE AFRICAE,Cirta-Hippo Regius,sum-route,Item a Cirta Hippone Regio m. p. XCIIII:,,,Cirta,Cirta,Cirta/Constantina,,,,,,,https://pleiades.stoa.org/places/305064,36.3681146666667,6.61330266666667,,
259,,42.4,1. PROVINCIAE AFRICAE,Cirta-Hippo Regius,sum-route,Item a Cirta Hippone Regio m. p. XCIIII:,,,Hippone Regio,Hippo Regius,Hippo Regius,m. p.,XCIIII, m. p. XCIIII,,,,https://pleiades.stoa.org/places/305090,36.882478,7.751272,,
264,,42.8-9,1. PROVINCIAE AFRICAE,Hippo Regius-Carthago-2,sum-route,Item ab Hippone Regio Cartagine m. p. CCXVIII:,,,Hippone Regio,Hippo Regius,Hippo Regius,,,,,,,https://pleiades.stoa.org/places/305090,36.882478,7.751272,,
265,,42.8-9,1. PROVINCIAE AFRICAE,Hippo Regius-Carthago-2,sum-route,Item ab Hippone Regio Cartagine m. p. CCXVIII:,,,Cartagine,Carthago,Carthago,m. p.,CCXVIII, m. p. CCXVIII,,,,https://pleiades.stoa.org/places/314921,36.853056,10.323056,,
277,,44.4-5,1. PROVINCIAE AFRICAE,Hippo Regius-Carthago-3,sum-route,Item alio itinere ab Hippone Regio Cartagine m. p. CCXXVIII:,,,Hippone Regio,Hippo Regius,Hippo Regius,,,,,,,https://pleiades.stoa.org/places/305090,36.882478,7.751272,,
278,,44.4-5,1. PROVINCIAE AFRICAE,Hippo Regius-Carthago-3,sum-route,Item alio itinere ab Hippone Regio Cartagine m. p. CCXXVIII:,,,Cartagine,Carthago,Carthago,m. p.,CCXXVIII, m. p. CCXXVIII,,,,https://pleiades.stoa.org/places/314921,36.853056,10.323056,,
289,,46.2,1. PROVINCIAE AFRICAE,Thenae-Theveste,sum-route,Item a Thenis Teveste m. p. CLXXV:,,,Thenis,Thenae,Thaenae,,,,,,,https://pleiades.stoa.org/places/324825,34.6553465,10.670659,,
290,,46.2,1. PROVINCIAE AFRICAE,Thenae-Theveste,sum-route,Item a Thenis Teveste m. p. CLXXV:,,,Teveste,Theveste,Theveste,m. p.,CLXXV, m. p. CLXXV,,,,https://pleiades.stoa.org/places/324831,35.404174,8.1223145,,
299,,47.3,1. PROVINCIAE AFRICAE,Aquae Regiae-Sufes,sum-route,Item ab Aquis Regis Sufibus m. p. XLIII:,,,Aquis Regis,Aquae Regiae,Aquae Regiae,,,,,,,https://pleiades.stoa.org/places/324667,35.58292,9.718677,,
300,,47.3,1. PROVINCIAE AFRICAE,Aquae Regiae-Sufes,sum-route,Item ab Aquis Regis Sufibus m. p. XLIII:,,,Sufibus,Sufes,Sufes,m. p.,XLIII, m. p. XLIII,,,,https://pleiades.stoa.org/places/324815,35.5433595,9.073196,,
304,,47.6,1. PROVINCIAE AFRICAE,Assurae-Thenae,sum-route,Item ab Assuras Thenas m. p. CXCII:,,,Assuras,Assurae,Assuras,,,,,,,https://pleiades.stoa.org/places/324669,35.9926205,9.0223555,,
305,,47.6,1. PROVINCIAE AFRICAE,Assurae-Thenae,sum-route,Item ab Assuras Thenas m. p. CXCII:,,,Thenas,Thenai,Thaenae,m. p.,CXCII, m. p. CXCII,,,,https://pleiades.stoa.org/places/324825,34.6553465,10.670659,,
316,,48.9-10,1. PROVINCIAE AFRICAE,Tuburbo-Tacape,sum-route,Item a Tuburbo per Valos Tacapas m.p. CCCVIII:,,,Tuburbo,Tuburbo,Thuburbo Minus,,,,,,,https://pleiades.stoa.org/places/315219,36.829599,9.838642,,
317,,48.9-10,1. PROVINCIAE AFRICAE,Tuburbo-Tacape,sum-route,Item a Tuburbo per Valos Tacapas m.p. CCCVIII:,,,Tacapas,Tacape,Tacape,m. p.,CCCVIII, m.p. CCCVIII,,,,https://pleiades.stoa.org/places/344496,33.88643,10.109445,,
332,,50.5-6,1. PROVINCIAE AFRICAE,Carthago-Sufetula-1,sum-route,Item a Cartagine in Bizancio Sufetula usque m. p. CLXXII:,,,Cartagine,Carthago,Carthago,,,,,,,https://pleiades.stoa.org/places/314921,36.853056,10.323056,,
