sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
1,,289.4-5,10. Via Aurelia.,Roma-Arelate,sum-route,A Roma per Tusciam et Alpes Maritimas Arelatum usque m. p. DCCXCVI:,,,Roma,Roma,Roma,,,,,,https://pleiades.stoa.org/places/423025,41.8916621952495,12.49234282802,,,
2,,289.4-5,10. Via Aurelia.,Roma-Arelate,sum-route,A Roma per Tusciam et Alpes Maritimas Arelatum usque m. p. DCCXCVI:,,,Arelatum,Arelate,Theline/Col. Arelate/Constantina,m. p.,DCCXCVI, m. p. DCCXCVI,,,https://pleiades.stoa.org/places/148217,43.677616,4.630799,,,
53,,300.1,10. Via Aurelia.,Roma-Cosa,sum-route,Aliter a Roma Cosa m. p. LXI:,,,Roma,Roma,Roma,,,,,,https://pleiades.stoa.org/places/423025,41.8916621952495,12.49234282802,,,
54,,300.1,10. Via Aurelia.,Roma-Cosa,sum-route,Aliter a Roma Cosa m. p. LXI:,,,Cosa,Cosa,Cosa,m. p.,LXI, m. p. LXI,,,https://pleiades.stoa.org/places/413107,42.4114104480815,11.2883770390906,,,
60,,300.6-7,10. Via Aurelia.,Roma-Centumcellae,sum-route,Item a Roma per Portum Centum Cellis m. p. LXVIIII:,,,Roma,Roma,Roma,,,,,,https://pleiades.stoa.org/places/423025,41.8916621952495,12.49234282802,,,
61,,300.6-7,10. Via Aurelia.,Roma-Centumcellae,sum-route,Item a Roma per Portum Centum Cellis m. p. LXVIIII:,,,Centum Cellis,Centumcellae,Centum Cellae,m. p.,LXVIIII, m. p. LXVIIII,,,https://pleiades.stoa.org/places/413076,42.091179,11.79681,,,
