sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
22,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Brundisium-Aulona,route,,,,Dio,Dion,Dion,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/491572,40.1763880561921,22.4914368240037,,settlement,
23,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Brundisium-Aulona,route,,,,Pudaia,Pydna,Pydna,m. p.,XVIIII,m. p. XVIIII,19.0,,https://pleiades.stoa.org/places/491703,40.3973652854993,22.6167701196679,,settlement,
24,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Brundisium-Aulona,route,,,,Berea,Beroea,Ber(r)oia,m. p.,XVII,m. p. XVII,17.0,,https://pleiades.stoa.org/places/491546,40.5221266666667,22.2014926666667,,settlement,
25,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Brundisium-Aulona,route,,,,Thessalia,Tessalonica,Thessalonica,m. p.,LI,m. p. LI,51.0,,https://pleiades.stoa.org/places/491741,40.628342,22.952885,,settlement,
26,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Brundisium-Aulona,route,,,,Mellissurgin,Melissurgis,Mellissurgin,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/491661,40.612681,23.3457935,,station,
27,,329.1-2,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,[Item recto itinere ab Hydrunti Aulonam stadia I () .],recto itinere,,,Hydruntum,Hydruntum,,,,0.0,,https://pleiades.stoa.org/places/444708,40.25,15.75,,centuriation,This is the alternative route to Aulona described above
28,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Aulonam,Aulona,Aulon,stadia, I () ,stadia I () ,1.0,,https://pleiades.stoa.org/places/481750,40.484898,19.473197,,settlement,
29,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,Inde PER MACEDONIAM:,,,Apollonia,Apollonia,Apollonia,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/481728,40.7339195,19.462878,,settlement,
30,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Ad Novas,Ad Novas,Ad Novas,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/481699,40.5,19.5,,unknown,
31,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Clodianis,Clodiana,Clodiana,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/481793,41.041466,19.796367,,station,
32,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Scampis,Scampa,‘Scampis’,m. p.,XXII,m. p. XXII,22.0,,https://pleiades.stoa.org/places/481982,41.116775,20.092646,,station,
33,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Tribus Tabernis,Tres Tabernae,Tres Tabernae,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/482022,41.5,20.5,,"people, tribe (historical cultural group)",Uncertain identification
34,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Lignido,Lichnidus,Lychnidos,m. p.,XXVII,m. p. XXVII,27.0,,https://pleiades.stoa.org/places/481900,41.114136,20.7964495,,settlement,
35,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Scirtiana,Scirtiana,Scirtiana,m. p.,XXVII,m. p. XXVII,27.0,,https://pleiades.stoa.org/places/481985,41.058785,21.042315,,station,
36,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Castra,Castra,Castra/Parembole,m. p.,VI,m. p. VI,6.0,,https://pleiades.stoa.org/places/481782,41.0839615,21.155344,,fort,
37,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Heraclia,Heraclea,Herakleia,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/481861,41.011,21.342,,settlement,
38,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Cellis,Cellae/Kellae,Cellae,m. p.,XXXIII,m. p. XXXIII,33.0,,https://pleiades.stoa.org/places/481783,40.7564735,21.679636,,station,
39,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Edessa,Edessa,Edessa (Macedonia),m. p.,XXXIII,m. p. XXXIII,33.0,,https://pleiades.stoa.org/places/491585,40.799718,22.053972,,settlement,
40,,,18. Inde per loca maritima IN EPIRUM ET THESSALIAM ET IN MACEDONIAM sic:,Hydruntum-Aulona,route,,,,Dioclitianopolis,Diocletianopolis,Pella/Diokletianoupolis,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/491687,40.7543596457273,22.5182247655476,,settlement,
