sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
28,,,4. SICILIAE.,Lilybaeum-Messana,route,,,,Syracusis,Syracusae,Syracusae/Syrakousai,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/462503,37.0700365425024,15.2831354803726,,settlement,
29,,,4. SICILIAE.,Lilybaeum-Messana,route,,,,Catina,Catania,Katane/Catina,m. p.,XLIIII,m. p. XLIIII,44.0,,https://pleiades.stoa.org/places/462270,37.502959,15.088142,,settlement,
30,,,4. SICILIAE.,Lilybaeum-Messana,route,,,,Tauromenio,Tauromenium,Tauromenium,m. p.,XXXII,m. p. XXXII,32.0,,https://pleiades.stoa.org/places/462506,37.852391,15.292123,,settlement,
31,,,4. SICILIAE.,Lilybaeum-Messana,route,,,,Messana,Messana,Zancle/Messana,m. p.,XXXII,m. p. XXXII,32.0,,https://pleiades.stoa.org/places/462538,38.192251,15.556634,,settlement,
32,,90.5,4. SICILIAE.,Messana-Tyndaris,route,A Messana Tindaride m. p. XXXVI.,,,Messana,Messana,Zancle/Messana,,,,0.0,,https://pleiades.stoa.org/places/462538,38.192251,15.556634,,settlement,
33,,90.5,4. SICILIAE.,Messana-Tyndaris,route,,,,Tindaride,Tyndaris,Tyndaris,m. p.,XXXVI,m. p. XXXVI,36.0,,https://pleiades.stoa.org/places/462527,38.14272495,15.0445609,,settlement,
34,,90.6-7,4. SICILIAE.,Lilybaeum-Tyndaris,sum-route,Item a Lilybeo per maritima loca Tindaride usque m. p. CCVIII:,,,Lilybeo,Lilybaeum,Lilybaeum,,,,,,https://pleiades.stoa.org/places/462281,37.8027343604892,12.4296649099417,,,
35,,90.6-7,4. SICILIAE.,Lilybaeum-Tyndaris,sum-route,Item a Lilybeo per maritima loca Tindaride usque m. p. CCVIII:,,,Tindaride,Tyndaris,Tyndaris,m. p.,CCVIII, m. p. CCVIII,,,https://pleiades.stoa.org/places/462527,38.14272495,15.0445609,,,
36,,,4. SICILIAE.,Lilybaeum-Tyndaris,route,,per maritima loca,,,Lilybaeum,Lilybaeum,,,,0.0,,https://pleiades.stoa.org/places/462281,37.8027343604892,12.4296649099417,,settlement,
37,,,4. SICILIAE.,Lilybaeum-Tyndaris,route,,,,Drepanis,Drepanum,Drepanum,m. p.,XVIII,m. p. XVIII,18.0,,https://pleiades.stoa.org/places/462187,38.017128,12.51782,,settlement,
38,,,4. SICILIAE.,Lilybaeum-Tyndaris,route,,,,Aquis Segestanis sive Pincianis,Aquae Segestanae,Aquae Segestanae,m. p.,XIIII,m. p. XIIII,14.0,,https://pleiades.stoa.org/places/462099,37.972503,12.891676,,bath,
39,,,4. SICILIAE.,Lilybaeum-Tyndaris,route,,,,Parthenico,Parthenicum,Parthenicum,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/462413,38.044987,13.12095,,settlement,
40,,,4. SICILIAE.,Lilybaeum-Tyndaris,route,,,,Hyccara,Hyccara,Hykkara?,m. p.,VIII,m. p. VIII,8.0,,https://pleiades.stoa.org/places/462254,38.131616,13.180922,,settlement,
41,,,4. SICILIAE.,Lilybaeum-Tyndaris,route,,,,Panormo,Panormus,Pan(h)ormus,m. p.,XVI,m. p. XVI,16.0,,https://pleiades.stoa.org/places/462410,38.1112268,13.3524434,,settlement,
42,,,4. SICILIAE.,Lilybaeum-Tyndaris,route,,,,Solunto,Soluntum,Soluntum,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/462498,38.092439,13.5313041,,settlement,
43,,,4. SICILIAE.,Lilybaeum-Tyndaris,route,,,,Thermis,Thermae,Thermae Himeraeae,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/462513,37.9851965,13.6962535,,settlement,
44,,,4. SICILIAE.,Lilybaeum-Tyndaris,route,,,,Cefalodo,Cephaloedium,Cephaloedium,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/462154,38.03814,14.025568,,settlement,
45,,,4. SICILIAE.,Lilybaeum-Tyndaris,route,,,,Haleso,Haleso,Halaesa,m. p.,XXVIII,m. p. XXVIII,28.0,,https://pleiades.stoa.org/places/462225,37.9987097961523,14.2625920483957,,settlement,
46,,,4. SICILIAE.,Lilybaeum-Tyndaris,route,,,,Caleate,Calacte,Calacte,m. p.,XXVI,m. p. XXVI,26.0,,https://pleiades.stoa.org/places/462123,38.024474,14.44077045,,station,
48,,,4. SICILIAE.,Lilybaeum-Tyndaris,route,,,,Agatinno,Agathyrnum,Agathyrnum,m. p.,XX,m. p. XX,20.0,,https://pleiades.stoa.org/places/462079,38.164099,14.749006,,settlement,
49,,,4. SICILIAE.,Lilybaeum-Tyndaris,route,,,,Tindaride,Tyndaris,Tyndaris,m. p.,XXVIII,m. p. XXVIII,28.0,,https://pleiades.stoa.org/places/462527,38.14272495,15.0445609,,settlement,
50,,93.2,4. SICILIAE.,Thermae-Catania,sum-route,Item a Thermis Catina m. p. XCI:,,,Thermis,Thermae,Thermae Himeraeae,,,,,,https://pleiades.stoa.org/places/462513,37.9851965,13.6962535,,,
51,,93.2,4. SICILIAE.,Thermae-Catania,sum-route,Item a Thermis Catina m. p. XCI:,,,Catina,Catania,Katane/Catina,m. p.,XCI, m. p. XCI,,,https://pleiades.stoa.org/places/462270,37.502959,15.088142,,,
52,,,4. SICILIAE.,Thermae-Catania,route,,,,,Thermae,Thermae Himeraeae,,,,0.0,,https://pleiades.stoa.org/places/462513,37.9851965,13.6962535,,settlement,
53,,,4. SICILIAE.,Thermae-Catania,route,,,,Enna,(H)Enna,(H)Enna,m. p.,LII,m. p. LII,52.0,,https://pleiades.stoa.org/places/462236,37.56720465,14.28015265,,settlement,
54,,,4. SICILIAE.,Thermae-Catania,route,,,,Agurio,Agyrium,Agyrium,m. p.,III,m. p. III,3.0,,https://pleiades.stoa.org/places/462082,37.65624055,14.5259926,,settlement,
55,,,4. SICILIAE.,Thermae-Catania,route,,,,Centuripa,Centuripae,Centuripae,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/462153,37.624073,14.740017,,settlement,
56,,,4. SICILIAE.,Thermae-Catania,route,,,,Aethna,Hybla Gereatis,Hybla Gereatis,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/462251,37.567342,14.90091,,settlement,
57,,,4. SICILIAE.,Thermae-Catania,route,,,,Catina,Catania,Katane/Catina,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/462270,37.502959,15.088142,,settlement,
58,,94.2-3,4. SICILIAE.,Catania-Agrigentum,sum-route,Item a Catina Agrigentum mansionibus nunc institutis m. p. XCII:,,,Catina,Catania,Katane/Catina,,,,,,https://pleiades.stoa.org/places/462270,37.502959,15.088142,,,
59,,94.2-3,4. SICILIAE.,Catania-Agrigentum,sum-route,Item a Catina Agrigentum mansionibus nunc institutis m. p. XCII:,,,Agrigentum,Agrigentum,Akragas/Agrigentum,m. p.,XCII, m. p. XCII,,,https://pleiades.stoa.org/places/462086,37.290594,13.585475,,,
60,,,4. SICILIAE.,Catania-Agrigentum,route,,,,,Catania,Katane/Catina,,,,0.0,,https://pleiades.stoa.org/places/462270,37.502959,15.088142,,settlement,
61,,,4. SICILIAE.,Catania-Agrigentum,route,,,,Capitonianis,Capitoniana,Capitoniana,m. p.,XXIIII,m. p. XXIIII,24.0,,https://pleiades.stoa.org/places/462131,37.388048,14.692681,mansio,station,
62,,,4. SICILIAE.,Catania-Agrigentum,route,,,,Philosophianis,Philosophiana,Philosophiana,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/462423,37.3190798213414,14.295446146487,mansio,basilica,
63,,,4. SICILIAE.,Catania-Agrigentum,route,,,,Gallonianis,Calloniana,Calloniana,m. p.,XXI,m. p. XXI,21.0,,https://pleiades.stoa.org/places/462124,37.334336,13.994528,mansio,station,
64,,,4. SICILIAE.,Catania-Agrigentum,route,,,,Cosconianis,Cosconianis,Cosconiana,m. p.,XII,m. p. XII,12.0,,https://pleiades.stoa.org/places/462166,37.355902,13.8073538,mansio,settlement,
65,,,4. SICILIAE.,Catania-Agrigentum,route,,,,Agrigentum,Agrigentum,Akragas/Agrigentum,m. p.,XIII,m. p. XIII,13.0,,https://pleiades.stoa.org/places/462086,37.290594,13.585475,,ekklesiasterion,
66,,95.2-3,4. SICILIAE.,Agrigentum-Syracusae,sum-route,Item ab Agrigentum per maritima loca Siracusas m. p. CXXXVII:,,,Agrigentum,Agrigentum,Akragas/Agrigentum,,,,,,https://pleiades.stoa.org/places/462086,37.290594,13.585475,,,
67,,95.2-3,4. SICILIAE.,Agrigentum-Syracusae,sum-route,Item ab Agrigentum per maritima loca Siracusas m. p. CXXXVII:,,,Siracusas,Syracusae,Syracusae/Syrakousai,m. p.,CXXXVII, m. p. CXXXVII,,,https://pleiades.stoa.org/places/462503,37.0700365425024,15.2831354803726,,,
68,,,4. SICILIAE.,Agrigentum-Syracusae,route,,per maritima loca,,,Agrigentum,Akragas/Agrigentum,,,,0.0,,https://pleiades.stoa.org/places/462086,37.290594,13.585475,,ekklesiasterion,
