sequence-number,place_id,CTS URN,region,route_label,route_type,text_transcription,direction,direction_type,place_transcription,place_normalized,pleiades_label,distance_unit,distance_ancient,distance-ancient,distance_modern,revised_distance,place_uri,latitude,longitude,placetype,placetype_pleiades,comment
3,,85.0,3. CORSICAE.,Mariana-Palmas,route,,,,,Mariana,Mariana,,,,0.0,,https://pleiades.stoa.org/places/472096,42.539147985458094,9.49566571946166,,settlement,Mariana-Plalas perhaps?
4,,,3. CORSICAE.,Mariana-Palmas,route,,,,Aleria,Aleria,Alalie/Aleria,m. p.,XL,m. p. XL,40.0,,https://pleiades.stoa.org/places/472048,42.1024853991622,9.51048249179721,,settlement,
5,,85.7,3. CORSICAE.,Mariana-Palmas,route,,,,Praesidio,Praesidium,Praesidium,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/472117,41.5,9.5,praesidium,unknown,Location is extremely imprecise
6,,,3. CORSICAE.,Mariana-Palmas,route,,,,Portu Favoni,Portus Favoni,Favoni Portus,m. p.,XXX,m. p. XXX,30.0,,https://pleiades.stoa.org/places/472066,41.770115,9.397573,portus,settlement,
7,,,3. CORSICAE.,Mariana-Palmas,route,,,,Plalas,Palmas?,Palla,m. p.,XXV,m. p. XXV,25.0,,https://pleiades.stoa.org/places/472110,41.387392,9.159401,,settlement,
