UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,Authority Link,First-level tag,Second-level tag,Typology,Visited or referenced,Other,COMMENTS,GROUP_ID,GROUP_ORDER
ce98a93f-c719-4e1f-b081-f40752a066b0,anabasis_book3_english.txt,Orontas,char-offset:42993,PERSON,,,,,,,,Orontas|person,https://en.wikipedia.org/wiki/Orontes_I,person,,,,,,,
6d5daa73-1195-41a3-9b5d-12edffda6c29,anabasis_book3_english.txt,Cyrus,char-offset:43062,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Cyrus_the_Younger.|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
bae179ad-35c7-4def-966c-a5d3b6864390,anabasis_book3_english.txt,Tissaphernes,char-offset:43208,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Tissaphernes.|person,https://en.wikipedia.org/wiki/Tissaphernes,person,,,,,,,
e70998c2-72a4-44e2-8619-2fa16cbc88d9,anabasis_book3_english.txt,Greeks,char-offset:43351,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
572c40fe-cf28-465d-9500-44b3847a737d,anabasis_book3_english.txt,Rhodian,char-offset:43658,PLACE,http://pleiades.stoa.org/places/590031,"Kamiros|Apollo Erethimios, T.|Ialysos|Ialysus/Ialysos, Trianda, Ialysos|Lindos|Lindos/Lindus, Lindos|Apollo Erethimios, Apollo Erethimios|Rhodos (island)|Rhodos Ins., Rhodos|Rhodos|Rhodos, Rhodos|Kamiros/Camirus, Kamiros, Kalavarda",-1200/2100,36.41451,28.15629,"island,settlement,temple-2,stadion",VERIFIED,https://en.wikipedia.org/wiki/Rhodes.|collective|ethnic,https://en.wikipedia.org/wiki/Rhodes,collective,ethnic,,,,,,
cc40d089-a3c8-4dcc-94f5-b6f870541285,anabasis_book3_english.txt,Tissaphernes,char-offset:43882,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Tissaphernes.|person,https://en.wikipedia.org/wiki/Tissaphernes,person,,,,,,,
7394a578-7fb1-4714-bdd5-47f9e2188853,anabasis_book3_english.txt,Rhodian,char-offset:44173,PLACE,http://pleiades.stoa.org/places/590031,"Kamiros|Apollo Erethimios, T.|Ialysos|Ialysus/Ialysos, Trianda, Ialysos|Lindos|Lindos/Lindus, Lindos|Apollo Erethimios, Apollo Erethimios|Rhodos (island)|Rhodos Ins., Rhodos|Rhodos|Rhodos, Rhodos|Kamiros/Camirus, Kamiros, Kalavarda",-1200/2100,36.41451,28.15629,"island,settlement,temple-2,stadion",VERIFIED,https://en.wikipedia.org/wiki/Rhodes.|collective|ethnic,https://en.wikipedia.org/wiki/Rhodes,collective,ethnic,,,,,,
afb5b451-c36c-4d24-b31c-673c5fd608a2,anabasis_book3_english.txt,Persians,char-offset:44235,PLACE,http://pleiades.stoa.org/places/541063,"Plataea|Plataiai, Kokkla",-0750/0640,38.221019,23.273866,settlement,UNVERIFIED,https://en.wikipedia.org/wiki/Persians.|collective|ethnic|region,https://en.wikipedia.org/wiki/Persians,collective,ethnic,region,,,,,
3091d12f-5872-405f-be0d-e3b82fed7523,anabasis_book3_english.txt,Persian,char-offset:44267,PLACE,http://geo-kima.org/place/2134,Persian Gulf,,,,,UNVERIFIED,Persian|collective|ethnic|region,https://en.wikipedia.org/wiki/Persians,collective,ethnic,region,,,,,
79b13fc0-3365-4f65-b244-194c5b2a4ba2,anabasis_book3_english.txt,Persian,char-offset:44290,PLACE,http://geo-kima.org/place/2134,Persian Gulf,,,,,UNVERIFIED,Persian|collective|ethnic|region,https://en.wikipedia.org/wiki/Persians,collective,ethnic,region,,,,,
