UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,Authority Link,First-level tag,Second-level tag,Typology,Visited or referenced,Other,COMMENTS,GROUP_ID,GROUP_ORDER
36b4b13c-3c6d-4866-8348-7e026ff12316,anabasis-book2.txt,Greek,char-offset:60,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
96822a92-8cb9-457e-9cca-4a23b87f0b99,anabasis-book2.txt,Cyrus,char-offset:90,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Cyrus_the_Younger.|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
ec9f7184-fc3e-4022-b285-723cefa32006,anabasis-book2.txt,Artaxerxes,char-offset:163,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Artaxerxes_II.|person,https://en.wikipedia.org/wiki/Artaxerxes_II,person,,,,,,,
d104091e-cdf8-4d56-9f23-2a3d8a1323f4,anabasis-book2.txt,Cyrus,char-offset:254,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Cyrus_the_Younger.|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
b9b1f177-fa71-4aca-80e1-60f4506bc697,anabasis-book2.txt,Greeks,char-offset:287,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,https://en.wikipedia.org/wiki/Greeks.|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
2ab4e158-8dd5-45e5-9de9-759fddbd417d,anabasis-book2.txt,Cyrus,char-offset:398,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Cyrus_the_Younger.|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
0a644f27-7b5e-4e2d-baea-b48e5a7e9895,anabasis-book2.txt,Cyrus,char-offset:488,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Cyrus_the_Younger.|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
3f4d6563-ea27-45d5-8ef1-5d23c56f1df3,anabasis-book2.txt,Cyrus,char-offset:687,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Cyrus_the_Younger.|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
2f818097-d70b-406e-801f-4a8db0acbe82,anabasis-book2.txt,"Procles, the ruler of Teuthrania",char-offset:777,PERSON,,,,,,,,Procles|person,https://en.wikipedia.org/wiki/Prokles_(Pergamon),person,,,,,,,
c3f2317b-b68e-49d2-9e57-2ec28042ea02,anabasis-book2.txt,ruler of Teuthrania,char-offset:790,PLACE,http://pleiades.stoa.org/places/550916,"Teuthrania|Teuthrania, Kalerga",-0750/0640,39.035223,27.054771,settlement,VERIFIED,Teuthrania|person|epithet|referenced,https://en.wikipedia.org/wiki/Teuthrania,person,epithet,,referenced,,"I wouldn't say that ""ruler of Teuthrania"" is an ethnic. This is an epithet. ",,
6b258250-21fa-40a6-b392-24ae9c75f074,anabasis-book2.txt,"Damaratus, the Laconian",char-offset:827,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Demaratus.|person,https://en.wikipedia.org/wiki/Demaratus,person,,,,,,,
870e42be-cb90-4014-995e-b6954abdc84c,anabasis-book2.txt,the Laconian,char-offset:838,PLACE,http://pleiades.stoa.org/places/570406,Lacedaemon/Laconia,-0750/0300,37.07624042,22.46082645,region,VERIFIED,Laconia|person|ethnic|region,https://en.wikipedia.org/wiki/Laconia,person,ethnic,region,,,"""This is an epithet referred to a person, so we need to tag ""the Laconian"" (in this case the article cannot be avoided) as person.ethnic, and also add the tag for Damaratus. In Recogito, you can additionally mark it as a place and georeference it to Laconia, so that we don't lose that bit of information. Does that make sense?"" -from previous Dr P comment",,
ac933d93-ad3d-41a7-a3ce-213c493d75a4,anabasis-book2.txt,"Glus, the son of Tamos",char-offset:865,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Glos_son_of_Tamos.|person,https://en.wikipedia.org/wiki/Glos_son_of_Tamos,person,,,,,"this is an alternative way of marking this type of occurrence, but we should discuss in our meeting how to address these instances.|no ancestry tag should be used in this case: ""ancestry"" is only used when the string ""son of..."" appears in isolation without the name.",,
214d5ef1-eb40-4c3d-b2f2-522796ed4ee6,anabasis-book2.txt,Cyrus,char-offset:908,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Cyrus_the_Younger.|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
