UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,Authority Link,First-level tag,Second-level tag,Typology,Visited or referenced,Other,COMMENTS,GROUP_ID,GROUP_ORDER
89d1aa83-8ab9-482e-8b3e-684c76c8e2cf,anabasis_book4_english.txt,Greeks,char-offset:207,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
d29b1b44-4b04-43e2-b098-3e3df49a85f0,anabasis_book4_english.txt,Cyrus,char-offset:260,PERSON,,,,,,,,Cyrus|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
7360d6f6-5651-439d-bc34-db7b40817a61,anabasis_book4_english.txt,Greeks,char-offset:335,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
2c2912c0-50bd-4032-89de-3da83039e67e,anabasis_book4_english.txt,Tissaphernes,char-offset:361,PERSON,,,,,,,,Tissaphernes|person,https://en.wikipedia.org/wiki/Tissaphernes,person,,,,,,,
9f590cdc-80d3-4dbe-a059-5e3fb122e17f,anabasis_book4_english.txt,Persian,char-offset:405,PLACE,http://geo-kima.org/place/2134,Persian Gulf,,,,,UNVERIFIED,Persian|collective|ethnic|region,https://en.wikipedia.org/wiki/Persians,collective,ethnic,region,,,,,
e5d4050f-a98f-4584-8bf4-69464899e59a,anabasis_book4_english.txt,Greek,char-offset:439,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
dc7ad8ba-e0a0-4830-8244-756154bbaa64,anabasis_book4_english.txt,Greeks,char-offset:462,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
d42522fa-dced-4b70-b663-57dae6bd03c0,anabasis_book4_english.txt,Tigris,char-offset:503,PLACE,http://pleiades.stoa.org/places/912964,Tigris/Diglitus (river),-18000/2000,34.52908255,44.7946783,river,VERIFIED,TigrisRiver|location|river,https://en.wikipedia.org/wiki/Tigris,location,,river,,,,,
a719877c-8c40-439f-8599-2e23b6566038,anabasis_book4_english.txt,Carduchian mountains,char-offset:637,PLACE,http://pleiades.stoa.org/places/874488,Gordyene/Corduena,-0330/0640,37.5,42.5,region,VERIFIED,https://en.wikipedia.org/wiki/Corduene.|location|region,https://en.wikipedia.org/wiki/Corduene,location,,region,,,,,
9a69f359-35e1-4d46-918c-328bb928bfee,anabasis_book4_english.txt,Carduchian mountains,char-offset:874,PLACE,http://pleiades.stoa.org/places/874488,Gordyene/Corduena,-0330/0640,37.5,42.5,region,VERIFIED,https://en.wikipedia.org/wiki/Corduene.|location|region,https://en.wikipedia.org/wiki/Corduene,location,,region,,,,,
3e9b7b94-e126-4f98-98de-2d4ef145994d,anabasis_book4_english.txt,Armenia,char-offset:907,PLACE,http://pleiades.stoa.org/places/874350,Armenia,-0550/0640,39.5,40.5,region,VERIFIED,Armenia|location|region,https://en.wikipedia.org/wiki/Satrapy_of_Armenia,location,,region,,,,,
a41133fc-838e-4a01-b8e8-b5d94519b9e6,anabasis_book4_english.txt,Tigris,char-offset:961,PLACE,http://pleiades.stoa.org/places/912964,Tigris/Diglitus (river),-18000/2000,34.52908255,44.7946783,river,VERIFIED,TigrisRiver|location|river,https://en.wikipedia.org/wiki/Tigris,location,,river,,,,,
3f4be36f-a4e4-45a4-a921-948fd028e04f,anabasis_book4_english.txt,Euphrates,char-offset:1090,PLACE,http://pleiades.stoa.org/places/912849,Euphrates (river),-18000/2000,34.74942378,40.93640094,river,VERIFIED,EuphratesRiver|location|river,https://en.wikipedia.org/wiki/Euphrates,location,,river,,,,,
cb3cd7a7-8cdc-4eaa-a3fd-7bbcdd1e0288,anabasis_book4_english.txt,Tigris,char-offset:1131,PLACE,http://pleiades.stoa.org/places/912964,Tigris/Diglitus (river),-18000/2000,34.52908255,44.7946783,river,VERIFIED,TigrisRiver|location|river,https://en.wikipedia.org/wiki/Tigris,location,,river,,,,,
