UUID,FILE,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,VOCAB_TEMPORAL_BOUNDS,LAT,LNG,PLACE_TYPE,VERIFICATION_STATUS,TAGS,Authority Link,First-level tag,Second-level tag,Typology,Visited or referenced,Other,COMMENTS,GROUP_ID,GROUP_ORDER
bcc8415b-2248-4c60-a092-6940f5c6c58f,anabasis_book1_english.txt,Darius,char-offset:19,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Darius_II.|person,https://en.wikipedia.org/wiki/Darius_II,person,,,,,,,
90c865eb-fa6a-46cc-8073-30cf744f67f6,anabasis_book1_english.txt,Parysatis,char-offset:30,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Parysatis.|person,https://en.wikipedia.org/wiki/Parysatis,person,,,,,,,
f72368d3-d99d-4da5-ac1a-cf182fcce2df,anabasis_book1_english.txt,Artaxerxes,char-offset:89,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Artaxerxes_II.|person,https://en.wikipedia.org/wiki/Artaxerxes_II,person,,,,,,,
bb9e9257-ed69-45f1-b685-aa9c77a5c45c,anabasis_book1_english.txt,Cyrus,char-offset:116,PERSON,,,,,,,,Cyrus|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
f2ffcf97-ea3c-40ee-b1ca-9ac40197af36,anabasis_book1_english.txt,Cyrus,char-offset:116,PERSON,,,,,,,,Cyrus|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
74db78f0-3681-4e4d-bf4d-bf294d3667c7,anabasis_book1_english.txt,Darius,char-offset:132,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Darius_II.|person,https://en.wikipedia.org/wiki/Darius_II,person,,,,,,,
70625d8f-d1ed-47fc-9016-3eaa50586b86,anabasis_book1_english.txt,Cyrus,char-offset:293,PERSON,,,,,,,,Cyrus|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
017a0474-726d-4088-8420-ee77dd2d321a,anabasis_book1_english.txt,Castolus,char-offset:450,PLACE,http://pleiades.stoa.org/places/609425,Kastolos? (river),-0550/-0330,38.75,28.75,river,VERIFIED,https://en.wikipedia.org/wiki/Castolus_(Lydia).|location,https://en.wikipedia.org/wiki/Castolus_(Lydia),location,,,,,,,
f10e89a1-49b7-49fb-b98b-725224b765a3,anabasis_book1_english.txt,Cyrus,char-offset:460,PERSON,,,,,,,,Cyrus|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
d3b19e87-e0bb-40b8-8253-fa3854f7706d,anabasis_book1_english.txt,Tissaphernes,char-offset:517,PERSON,,,,,,,,Tissaphernes|person,https://en.wikipedia.org/wiki/Tissaphernes,person,,,,,,,
feee8f75-87c2-4f11-b436-f5f4d134b892,anabasis_book1_english.txt,Greek,char-offset:575,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
5804a464-f17d-4184-89fb-4144d10bcff1,anabasis_book1_english.txt,Xenias of Parrhasia,char-offset:612,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Xenias_of_Arcadia.|person,https://en.wikipedia.org/wiki/Xenias_of_Arcadia,person,,,,,,,
9b14ea12-bf30-40c0-9650-0a314d21c48b,anabasis_book1_english.txt,of Parrhasia,char-offset:619,PLACE,http://pleiades.stoa.org/places/570564,Parrasia,-0550/-0330,37.25,22.25,unknown,VERIFIED,Parrhasia|person|ethnic|region,https://en.wikipedia.org/wiki/Parrhasia_(Arcadia),person,ethnic,region,,,,,
e508bd2a-a996-47df-afe6-e30608b9f946,anabasis_book1_english.txt,Darius,char-offset:638,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Darius_II.|person,https://en.wikipedia.org/wiki/Darius_II,person,,,,,,,
09abd5fa-5dc7-4ff2-a695-cd9be9b8c584,anabasis_book1_english.txt,Artaxerxes,char-offset:658,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Artaxerxes_II.|person,https://en.wikipedia.org/wiki/Artaxerxes_II,person,,,,,,,
f8d664bf-8b6d-4aff-bc87-6185a41af25a,anabasis_book1_english.txt,Tissaphernes,char-offset:701,PERSON,,,,,,,,Tissaphernes|person,https://en.wikipedia.org/wiki/Tissaphernes,person,,,,,,,
048b1469-0ba6-44c4-bcdc-0256c2a6650c,anabasis_book1_english.txt,Cyrus,char-offset:730,PERSON,,,,,,,,Cyrus|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
c5f32e28-c668-4052-9d2b-c3c7f0bf1c5e,anabasis_book1_english.txt,Artaxerxes,char-offset:780,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Artaxerxes_II.|person,https://en.wikipedia.org/wiki/Artaxerxes_II,person,,,,,,,
62e4004b-5cfd-4373-973f-d185d8606fff,anabasis_book1_english.txt,Cyrus,char-offset:827,PERSON,,,,,,,,Cyrus|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
51ec6287-e00e-4155-9924-332505c11f82,anabasis_book1_english.txt,Cyrus,char-offset:978,PERSON,,,,,,,,Cyrus|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
8b2d87fa-665d-4fc4-841e-a34d5addc6fd,anabasis_book1_english.txt,Parysatis,char-offset:1203,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Parysatis.|person,https://en.wikipedia.org/wiki/Parysatis,person,,,,,,,
4a0483c3-4e2a-4c20-93e2-edad016a9f0b,anabasis_book1_english.txt,Artaxerxes,char-offset:1278,PERSON,,,,,,,,https://en.wikipedia.org/wiki/Artaxerxes_II.|person,https://en.wikipedia.org/wiki/Artaxerxes_II,person,,,,,,,
e2ba4084-ed13-495e-9a68-f70df0e4708f,anabasis_book1_english.txt,Greek,char-offset:1610,PLACE,http://pleiades.stoa.org/places/1001896,Hellas,-0550/2100,37.5,22.5,province,VERIFIED,Greek|collective|ethnic|region,https://en.wikipedia.org/wiki/Greeks,collective,ethnic,region,,,,,
b77d9958-b7bc-4a49-afad-4c3eeb1c4ab8,anabasis_book1_english.txt,Peloponnesian,char-offset:1921,PLACE,http://pleiades.stoa.org/places/570577,Peloponnesus/Peloponnesos/Peloponnese,-0550/0640,37.25289778,22.31275269,"peninsula,region",VERIFIED,Peloponnese|collective|ethnic|region,https://en.wikipedia.org/wiki/Peloponnese,collective,ethnic,region,,,,,
ad872224-4884-40e3-b487-36cabaafeea2,anabasis_book1_english.txt,Tissaphernes,char-offset:2003,PERSON,,,,,,,,Tissaphernes|person,https://en.wikipedia.org/wiki/Tissaphernes,person,,,,,,,
f343aa3a-feda-44d8-b19c-c11584cabe88,anabasis_book1_english.txt,Ionian,char-offset:2065,PLACE,http://pleiades.stoa.org/places/550597,Ionia (region),-0750/0640,38.25857286,27.36601213,region,VERIFIED,Ionia|collective|ethnic|region,https://en.wikipedia.org/wiki/Ionia,collective,ethnic,region,,,,,
7e2aedf4-b807-4d0e-b0ba-3d37cd055714,anabasis_book1_english.txt,Tissaphernes,char-offset:2106,PERSON,,,,,,,,Tissaphernes|person,https://en.wikipedia.org/wiki/Tissaphernes,person,,,,,,,
7cdc2616-0cc0-4147-83ba-f8fa6367939b,anabasis_book1_english.txt,Miletus,char-offset:2177,PLACE,http://pleiades.stoa.org/places/599799,"Miletus|Miletos/Miletus, Milet, Balat, Didim",-1750/2000,37.5292362,27.2774885,"theatre,settlement,port",VERIFIED,Miletus|location|city|referenced,https://en.wikipedia.org/wiki/Miletus,location,,city,referenced,,,,
8fe49e90-68d5-4c96-8a38-9ec81c81223a,anabasis_book1_english.txt,Cyrus,char-offset:2215,PERSON,,,,,,,,Cyrus|person,https://en.wikipedia.org/wiki/Cyrus_the_Younger,person,,,,,,,
